propertyCode,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108924671,0,3,245000.0,flat,sale,70.0,True,2,1,calle de Servando Batanero,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4300741,-3.6504497,False,https://www.idealista.com/inmueble/108924671/,"¡Descubre tu nuevo hogar en la calle Servando Batanero! Este encantador piso de 70 m² construidos y 65 m² útiles te ofrece todo lo que necesitas para disfrutar de la vida en la ciudad. Con 2 acogedores dormitorios y un baño completo, es perfecto tanto para parejas como para pequeñas familias. El salón comedor es luminoso y espacioso, ideal para relajarte o recibir a amigos. Además, cuenta con una cocina funcional que hará las delicias de los amantes de la gastronomía. Una de las joyas de este piso son sus dos terrazas: una exterior, perfecta para disfrutar del aire libre, y otra interior, ideal para momentos de tranquilidad. El inmueble se encuentra en buen estado de conservación y está equipado con aire acondicionado y calefacción de gas natural para garantizar tu confort en cualquier época del año.  Ubicado en una zona con todos los servicios al lado, tendrás parques y tiendas de todo tipo a pocos pasos, lo que facilitará tu día a día. También incluye un trastero en la misma finca, lo que añade un plus de comodidad. Si necesitas más espacio, existe la posibilidad de adquirir una plaza de garaje en la misma finca por solo 18,000 € adicionales. ¡No dejes pasar esta oportunidad única y ven a visitarlo!",False,good,False,False,3500.0,False,False,False,False,[],False,False,245000.0,€,True,False,18000.0,flat,"Ventas, Madrid",Piso en calle de Servando Batanero,,,,,
108760155,0,,760000.0,chalet,sale,335.0,,5,5,paseo de Emilia Alarcos s/n,Madrid,Torrelodones,Las Marías,es,,40.576287,-3.939892,True,https://www.idealista.com/inmueble/108760155/,"Encantada de saludarte. Mi nombre es Patricia Delgado. Probablemente estés aquí porque llevas tiempo buscando la casa ideal donde comenzar a crear recuerdos inolvidables en familia, construir un hogar, vuestro refugio.  Hoy quiero invitarte a imaginar cómo sería tu vida aquí, en Solari Home, a través de un pequeño ejercicio de visualización, juntos:  Es sábado por la mañana. Abres los ojos, la luz entra por el ventanal y tienes ganas de comenzar este nuevo día. Sales a la terraza de tu habitación. Espera, hagamos una pausa. Todo es mejor con una taza de café entre las manos. ¿Listo?  Bien, regresas a la terraza, aún es pronto. Se ha convertido en vicio observar la sierra de Gredos desde tu cuarto, parece un cuadro. Sí, es el monasterio de El Escorial lo que se divisa al fondo. Respiras profundo. La sensación de paz y tranquilidad es absoluta. Ahora sí, es hora de desayunar con los tuyos y los peques parece que ya han amanecido. ¡Vaya! Parece que alguien se te ha adelantado y el delicioso desayuno ya está listo en la mesa del porche...  Piensas la suerte que es poder compartir ese momento, todos juntos, con el jardín al frente. Precioso, cuidado. En frente, zona verde. Privacidad. Intimidad.  Te reconforta confirmar lo bien que hicisteis escogiendo este chalet. Sí, la urbanización Torrealta es de las más deseadas (por no decir la que más) de Torrelodones, pero hay más. La ubicación estratégica del chalet: lejos de la carretera (ausencia de ruidos) y lo suficientemente lejos de la zona de baño para no escuchar ni el más mínimo ruido desde tu hogar. Inteligente elección, lo sabes. Te replanteas el plan de la mañana… Estáis a gusto, apetece quedarse en casa.  ¿Lectura en el jardín o revancha en la pista de tenis? Empecemos por un paseo por la urbanización. Que apetecible resulta la zona de baño, con sus espléndidas piscinas de agua cristalina y fondo turquesa.  Ya te imaginas la tarde, chapoteando con tus hijos, entre risas y agua fresca. ¿Un partido de tenis después? Esta pista pide a gritos un partido, ¿invitamos a algún amigo? Sabes que es la envidia de todos, es difícil encontrar una pista así.  Al cruzar la puerta de la urbanización, saludas al personal de seguridad, presente las 24 horas del día para garantizar tu seguridad y la de los tuyos. Tu familia es tu tesoro, de eso no cabe duda. Y sí, el importe de la urbanización no es bajo, pero tu tranquilidad y paz mental no son negociables.  Día y noche tu hogar y tu familia están protegidos, estéis dentro o de vacaciones. A dos minutos en coche el acceso directo a la carretera A-6.  Muy cerca de la puerta de la vivienda: supermercados, hospital, centro de salud, el entorno natural de Las Marías e incluso uno de los senderos mejor valorados de la zona, te daremos más detalles en tu visita si lo deseas. Además, marquesina de autobús en frente de casa con conexión directa a Madrid y tren cercanías. Regresas a casa tras el paseo; los peques juegan en el jardín. Tu jardín privado, en forma de L, muy aprovechable.  L de lujo, de luz, de libertad. Una forma que permite crear rincones distintos, llenos de vegetación y privacidad. La tarde cae despacio, tiñendo el cielo de tonos cálidos. Cenita en el porche, luz suave, brisa veraniega, conversaciones que se alargan y se graban para siempre en la memoria. Cae la noche, los peques ya han caído. Descansan cada uno en su propio cuarto. Así se llevan mejor. Junto a tu pareja, un brindis. Por el verano. Por la familia. Por haber encontrado, al fin, vuestro hogar. Y piensas, sin decirlo en voz alta: Ahora sí. Aquí empieza todo. El viernes 18 de julio realizaremos el reportaje fotográfico y el vídeo tour. ¿Quieres recibirlo antes que nadie? Contáctanos hoy. GRACIAS. Por leer, imaginar y sentir. Att; Patricia Delgado.",False,good,False,,2269.0,False,False,False,False,[],False,False,760000.0,€,True,True,,chalet,"Las Marías, Torrelodones",Chalet pareado en paseo de Emilia Alarcos s/n,Solari Home,semidetachedHouse,,,
108661705,0,3,194000.0,flat,sale,74.0,True,3,1,calle de las Higueras,Madrid,Madrid,Latina,es,Lucero,40.4076556,-3.7444659,False,https://www.idealista.com/inmueble/108661705/,piso alquilado en 4/03 2020 hasta 3/32027.,False,good,False,False,2622.0,False,False,False,False,[],False,False,194000.0,€,,,,flat,"Lucero, Madrid",Piso en calle de las Higueras,07273,,196000.0,2000.0,1.0
108307934,0,3,225000.0,flat,sale,65.0,True,3,1,calle de Puentelarra,Madrid,Madrid,Villa de Vallecas,es,Santa Eugenia,40.3824844,-3.6114559,False,https://www.idealista.com/inmueble/108307934/,"Inmobiliaria Santa Eugenia VOhome Vende: Vivienda de 3 dormitorios, salón con acceso a terraza cubierta, cocina y baño completo con plato de ducha. Cuenta con aire acondicionado en el salón. Suelos de Gres, puertas de roble y ventanas de aluminio. Esta vivienda se encuentra Situada en el barrio de Santa Eugenia, el cual fue concebido en sus orígenes como una urbanización privada llamada ciudad residencial Santa Eugenia, de ahí que esté rodeado de infinidad de zonas verdes tanto dentro como en sus alrededores, cuenta con un mínimo de 113 especies de árboles y más de 100 especies de arbustos catalogados, esto ha dado lugar a que se haya aprobado el proyecto JARDÍN BOTÁNICO URBANO. Dotado de guarderías y buenos centros educativos tanto de enseñanza primaria como secundaria y posterior, galerías de alimentación de las de toda la vida, comercios de barrio, centro de salud, etc.. . A escasos 10 minutos en coche encontramos El Centro Comercial ""La Gavia. Allí se pueden encontrar más de 60.000 m2 destinados a comercios y restauración, 10.000 para el supermercado Carrefour, 20.000 para Ikea y más de 5.000 plazas de garaje de aparcamiento gratuito. Por su ubicación tiene una excelente comunicación con paradas de autobuses urbanos: Línea 58 - Puente de Vallecas. Línea 145 - Conde Casal / Ensanche de Vallecas (C. C. La Gavia a 10 min). Línea 63 - Felipe II (Goya). La estación de Renfe Santa Eugenia está situada a 6 minutos caminando de la vivienda (líneas C2, C7 y C8), Atocha y Sol en 15 min y acceso inmediato a la A3. Financiación hasta 100% (según condiciones). Servicio de asesoramiento gratuito. Visítenos sin compromiso. Calle Castrillo de Aza, 14, LOCAL 7, 28031 Madrid Telf. : *En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría - Gestoría / Registro / Intermediación inmobiliaria y / o Financiera).",False,good,False,False,3462.0,False,False,False,False,[],False,False,225000.0,€,,,,flat,"Santa Eugenia, Madrid",Piso en calle de Puentelarra,1301854,,,,
108685712,0,2,730000.0,flat,sale,65.0,False,2,2,calle de Tomás López,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4245075,-3.6688143,False,https://www.idealista.com/inmueble/108685712/,"Inmobiliarias Encuentro vende Descubre esta vivienda de lujo completamente reformada en una de las zonas más demandadas de Madrid: el barrio de Goya, en el prestigioso distrito de Salamanca. Situado en una tercera planta con orientación Sur, este piso destaca por su luminosidad natural, diseño contemporáneo y excelentes materiales. Con una superficie perfectamente aprovechada, la vivienda cuenta con 2 amplios dormitorios, ambos con vestidor independiente, ofreciendo un espacio funcional y elegante para el día a día. Dispone de 2 baños completos, diseñados con líneas modernas y acabados de primera calidad. El piso se entrega completamente amueblado con un estilo sofisticado y atemporal, listo para entrar a vivir. El salón-comedor con cocina integrada se abre a dos encantadores balcones exteriores, ideales para disfrutar del sol. ¡No pierdes nada por verlo! ¡Podría ser el piso de sus sueños! . La vivienda no dispone de fotos ya que es una venta privada.",False,good,False,True,11231.0,False,False,False,False,[],False,False,730000.0,€,,,,flat,"Goya, Madrid",Piso en calle de Tomás López,IE05TOMASLOPEZ9,,,,
106595694,0,2,6000000.0,flat,sale,480.0,True,6,5,calle de Velázquez,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4266697,-3.6829258,False,https://www.idealista.com/inmueble/106595694/,"Vivienda de 480m2 construidos situada en el mejor tramo de la calle Velazquez, inmejorable ubicación, fantástica finca y portal. La vivienda se encuentra en perfecto estado de conservación y mantenimiento, pero de origen tal y como se compro en su día, por lo que en la actualidad, su estado es para realizarle una reforma integral ya que posee un enorme potencial por sus infinitas posibilidades de reforma. Terraza, calefacción central, portero físico, 2 plazas de garaje, etc. Por expreso deseo de la propiedad no se publicaran fotos de la vivienda, pero para cualquier información, pónganse en contacto con nosotros.",False,renew,False,True,12500.0,False,False,False,False,[],False,False,6000000.0,€,True,True,,flat,"Recoletos, Madrid",Piso en calle de Velázquez,,,,,
108934633,0,4,795000.0,flat,sale,100.0,True,2,2,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4308948,-3.6671978,False,https://www.idealista.com/inmueble/108934633/,"Inmobiliarias Encuentro presenta en exclusiva un magnífico piso de 100 m², situado en la deseada zona de Guindalera, Madrid.  Importante destacar que no se pueden publicar fotos a petición del propietario. Este inmueble se encuentra en excelente estado y listo para ser habitado. Dispone de dos amplias habitaciones (una doble y una sencilla) junto con dos baños completos que garantizan comodidad y privacidad a sus residentes. El salón es espacioso e iluminado gracias a las ventanas aislantes que permiten el paso abundante de luz natural desde la calle y del patio interior. La cocina independiente está diseñada pensando tanto en funcionalidad como estilo; sus paredes lacadas en blanco crean un ambiente moderno ideal para quienes desean personalizar su nuevo hogar. Ubicado próximo a Avenida de los Toreros y Plaza Manuel Becerra, este piso no solo ofrece confort interno sino también fácil acceso al transporte público mediante autobuses cercanos y metro. La proximidad a centros comerciales, colegios e instalaciones hospitalarias lo convierte en una opción inmejorable para familias o profesionales por igual. Además, el entorno cuenta con áreas infantiles perfectas para jóvenes familias así como espacios verdes donde disfrutar momentos al aire libre entre árboles bien cuidados. Esta combinación única entre tranquilidad urbana accesible hace de este piso un lugar excepcional. Si necesitas vender tu piso para adquirir esta vivienda pregúntanos por nuestro servicio CAMBIA Y DESCANSA. En iEncuentro contamos con financiación propia si lo necesitas y estamos a tu disposición para ofrecerte un servicio personalizado, adaptado a tus necesidades.",False,good,False,True,7950.0,False,False,False,False,[],False,False,795000.0,€,,,,flat,"Guindalera, Madrid",Piso,IE04-LOD9,,,,
108934461,0,bj,250000.0,flat,sale,34.0,False,1,1,Barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4337979,-3.673383,False,https://www.idealista.com/inmueble/108934461/,"Inmobiliarias Encuentro presenta en exclusiva un encantador piso de 34 metros construidos, situado en la deseada zona de Guindalera, Madrid.  Importante destacar que no se pueden publicar fotos a petición del propietario.  Este luminoso inmueble se encuentra en una planta baja interior y ofrece una distribución óptima que incluye una habitación doble espaciosa, un baño completo equipado con plato de ducha moderno y un acogedor salón con cocina americana integrada. La propiedad destaca por su excelente estado de conservación; lista para entrar a vivir gracias a sus amplias ventanas que permiten el paso abundante de luz natural desde el patio. Vivir en Guindalera es disfrutar del dinamismo urbano sin renunciar a la tranquilidad típica del barrio; además cuenta con fácil acceso al transporte público mediante varias líneas cercanas como las estaciones Diego León o Avenida América. Esta localización no solo asegura comodidad sino también calidad vida diaria. Adicionalmente, esta vivienda representa una inversión atractiva para aquellos interesados debido a su alta rentabilidad potencial dada la constante demanda en esta área residencial altamente solicitada. Si necesitas vender tu piso para adquirir esta vivienda pregúntanos por nuestro servicio CAMBIA Y DESCANSA. En iEncuentro contamos con financiación propia si lo necesitas y estamos a tu disposición para ofrecerte un servicio personalizado, adaptado a tus necesidades.",False,good,False,False,7353.0,False,False,False,False,[],False,False,250000.0,€,,,,flat,"Guindalera, Madrid",Piso,IEO4-AZ9,,,,
108034080,0,5,2700000.0,duplex,sale,323.0,True,7,4,Barrio Bernabéu-Hispanoamérica,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4524164,-3.6808025,False,https://www.idealista.com/inmueble/108034080/,"Imagina un ático dúplex con un potencial enorme, esperando una transformación completa en el corazón vibrante de la ciudad. Situado en una calle céntrica y excelentemente comunicada, te ofrece la oportunidad de diseñar un hogar único con espacios generosos. Distribución Actual: Al acceder a la planta 4º, te encontrarías con:  Este sería el corazón de la vivienda, un espacio diáfano con la ventaja de una salida directa a una terraza. Imagina las posibilidades: un salón luminoso y moderno, un comedor elegante para recibir invitados. Cocina: Independiente y con espacio suficiente para ser rediseñada completamente a tu gusto, incorporando las últimas tendencias y electrodomésticos de alta gama.  Tres Dormitorios: Espacios individuales con potencial para convertirse en habitaciones amplias y luminosas. El dormitorio principal podría contar con su propio vestidor y baño en suite. Los otros dos dormitorios podrían compartir un baño o incluso tener la posibilidad de crear baños individuales. Dos Baños: Actualmente existentes, pero listos para ser renovados con materiales y acabados de diseño, creando espacios de relajación y confort. Planta 5º: Esta completamente abuhardillada distribuido en amplio salon con ventanas veluz que dotan a la casa con una luz increible, 2 dormitorios con 2 baños y cocina. Este ático dúplex es una joya en bruto, ofreciéndote la libertad de crear un hogar que refleje tu estilo y personalidad al 100%.  Estar en una calle céntrica y bien comunicada te permitirá disfrutar de la comodidad de tener todos los servicios, comercios, restaurantes y opciones de ocio a tu alcance. Además, contar con buenas conexiones de transporte público facilitará tus desplazamientos por la ciudad. En resumen, este ático dúplex para reformar completamente es una oportunidad emocionante para crear un hogar de lujo y a tu medida en una ubicación privilegiada.",False,renew,False,True,8359.0,False,False,False,False,[],False,False,2700000.0,€,True,True,,flat,"Bernabéu-Hispanoamérica, Madrid",Dúplex,,duplex,,,
107735676,0,2,2500000.0,flat,sale,140.0,True,3,2,Barrio Jerónimos,Madrid,Madrid,Retiro,es,Jerónimos,40.4144265,-3.6886098,False,https://www.idealista.com/inmueble/107735676/,"ALONSO & VEGA LUXURY HOUSING ESPECIALISTAS EN VIVIENDAS DE LUJO EN LAS ZONAS MÁS EXCLUSIVAS DE MADRID.  Presentamos esta estupenda vivienda totalmente reformada con un exquisito diseño del interior y materiales de primera calidad en el exclusivo Barrio de los Jerónimos. Espectacular vivienda con vistas al emblemático parque del Retiro. Dormitorio principal con baño en suite y vestidor para disponer de mayor privacidad.  Salón luminoso con salida a dos balcones con vistas al parque del Retiro. Cocina de diseño integrada y totalmente equipada.  Materiales de primeras calidades y de última vanguardia. Armarios empotrados. Tarima de roble. Balcones con puerta y acristalamiento de alta calidad, que aíslan totalmente del ruido,  garantizando el máximo aislamiento térmico de la vivienda. Finca clásica con orientación sur. Contáctanos y nuestro asesor especializado te ampliará toda la información.",False,good,False,True,17857.0,False,False,False,False,[],False,False,2500000.0,€,,,,flat,"Jerónimos, Madrid",Piso,Barrio de los Jerónimos.,,,,
