propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,floor,exterior,hasLift,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108576168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/63/a8/1348914916.webp,COLMENAR VIEJO,19,265000.0,chalet,sale,178.0,5,2,Centro,Madrid,Colmenar Viejo,Centro,es,40.663433,-3.7713014,False,https://www.idealista.com/inmueble/108576168/,"JJS HOMES vende EXCLUSIVO este inmueble de 178 m², totalmente a reformar. La vivienda se distribuye actualmente en: - SALÓN  - COCINA independiente - CINCO habitaciones - DOS baños - JARDÍN El solar cuenta con una parcela de 178 m² y una edificabilidad de hasta 348 m², distribuida en dos plantas, con una altura máxima de 7 metros: planta baja, primera planta y bajo cubierta. No requiere retranqueo y permite una ocupación completa de la parcela. Existe la posibilidad de desarrollar una promoción de 5 o 6 viviendas, con superficies aproximadas de entre 50 y 60 m² cada una. Ubicado en una zona céntrica de Colmenar Viejo, el inmueble se encuentra a escasos metros de un centro comercial, farmacias, bancos, restaurantes y paradas de autobús. Todos los servicios necesarios están a menos de 5 minutos a pie. Además, se sitúa a solo 5 minutos en coche de la estación de Renfe de Colmenar Viejo y a 20 minutos de Madrid.",False,renew,False,1489.0,False,False,False,False,[],False,False,265000.0,€,chalet,semidetachedHouse,"Centro, Colmenar Viejo",Chalet pareado,Destacado,,,,,,,,,,
107232491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/dc/7d/1306908668.webp,ALRE-06169,19,140000.0,chalet,sale,245.0,5,1,Orusco,Madrid,Orusco,,es,40.2884624,-3.2003435,False,https://www.idealista.com/inmueble/107232491/,"DP2020 vende maravillosa finca rustica en la localidad de Orusco de Tajuña, Madrid. La vivienda se encuentra distribuida en dos plantas, planta baja con terraza acristalada, hall recibidor, salón-comedor, cocina abierta, dos dormitorios y baño. Plata superior con tres dormitorios. La finca cuenta con zona ajardinada, piscina propia y garaje.  Esta vivienda forma parte del municipio de Orusco de Tajuña, en la comarca de Las Vegas, con una población de tan solo 1415 habitantes. Es la opción perfecta para quienes buscan tranquilidad sin renunciar a la accesibilidad.  Infórmate y visita sin compromiso! DP2020 la inmobiliaria de las familias exigentes, tu inmobiliaria de confianza!",False,renew,False,571.0,False,False,False,False,[],False,False,140000.0,€,chalet,independantHouse,Orusco,Casa independiente,Destacado,True,True,,,,,,,,
108769344,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/3e/9d/1354597442.webp,,16,88000.0,flat,sale,83.0,3,1,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,40.473881,-3.3861766,False,https://www.idealista.com/inmueble/108769344/,"Agencia inmobiliaria TECNOCASA de ALCALÁ DE HENARES - REYES CATOLICOS - NUESTRA SEÑORA DE BELEN, VENDE BAJO DE NUDA PROPIEDAD de 3 dormitorios. El piso dispone de una superficie construida de unos 83 m2. Se compone de 3 dormitorios, baño completo, amplio salón exterior con salida a una agradable terraza, y por ultimo una cocina totalmente equipada con muebles altos y bajos. La vivienda dispone de calefacción de gas natural. Rodeada de zonas ajardinadas, parques infantiles y zonas deportivas. No dudes en venir a verla porque puede ser lo que estas buscando. Además te recordamos que te ayudamos con la financiación de la vivienda gracias a nuestro departamento financiero KIRON. Infórmese en nuestra oficina. MEJOR VERLO.",False,good,False,1060.0,False,False,False,False,[],False,False,88000.0,€,flat,,"Reyes Católicos, Alcalá de Henares",Piso,Destacado,,,bj,True,False,,,,,
108643818,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/20/98/1350854084.webp,00039,1,156000.0,flat,sale,74.0,3,1,Parque Inlasa,Madrid,Parla,Parque Inlasa,es,40.2363651,-3.7729822,False,https://www.idealista.com/inmueble/108643818/,"Piso de 78 m² ubicado en Parla, Madrid. Se trata de un piso de 78 m² distribuidos en salón-comedor, cocina, 3 dormitorios y 1 baño. La vivienda se sitúa en el núcleo urbano de Parla, concretamente en la calle Monte Tabor, una zona residencial consolidada que ofrece un entorno tranquilo y familiar, ideal tanto para familias como para quienes buscan comodidad y todos los servicios a su alcance. El edificio presenta una estructura funcional y bien conservada, con zonas comunes cuidadas y acceso adaptado. El piso destaca por su luminosidad y una distribución que aprovecha al máximo el espacio disponible, facilitando la vida diaria y el confort de sus habitantes. En cuanto a comunicaciones, la ubicación es excelente: Parla cuenta con acceso directo a la autovía A-42, que conecta rápidamente con Madrid y Toledo, y la M-408, facilitando los desplazamientos en vehículo privado. Además, la estación de Cercanías Renfe Parla (línea C-4) se encuentra a pocos minutos, permitiendo llegar al centro de Madrid en aproximadamente 25 minutos. La localidad dispone también de una amplia red de autobuses urbanos e interurbanos, con varias líneas que comunican con municipios cercanos y con la capital. En la zona es posible encontrar una completa oferta de servicios: supermercados (Mercadona, Carrefour Market), centros educativos (Colegio Público Giner de los Ríos, IES Humanejos), instalaciones deportivas (Polideportivo Francisco Javier Castillejo), centros de salud (Centro de Salud Isabel II) y el Hospital Universitario Infanta Cristina, situado a menos de 10 minutos en coche. Además, el entorno cuenta con parques y zonas verdes como el Parque del Universo, ideales para el ocio y el esparcimiento. El centro comercial El Ferial, con una variada oferta de tiendas, restauración y ocio, se encuentra también a poca distancia. Con nuestros servicios podrá encontrar el piso que necesita y asegurar su inversión con el mejor de los asesoramientos especializados. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. - El inmueble se encuentra gravado con una o varias cargas, la/s cual/es se encuentra/n pendiente/s de su cancelación. Se debe consultar su situación actual, así como sus posibles limitaciones y la asunción de su cancelación. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra.",False,renew,False,2108.0,False,False,False,False,[],False,False,156000.0,€,flat,,"Parque Inlasa, Parla",Piso,Destacado,,,2,True,False,,,,,
107784829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/5b/84/1323658632.webp,,14,930000.0,flat,sale,95.0,2,2,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,40.4293482,-3.6774671,False,https://www.idealista.com/inmueble/107784829/,"¡Descubre este espectacular piso recién reformado en el corazón del barrio de Salamanca, Goya! Con una superficie de 95 metros cuadrados, este hogar combina elegancia y confort en cada rincón. Al entrar, te recibirán acabados de alta calidad que destacan en sus dos habitaciones luminosas, perfectas para descansar. Además, cuenta con dos baños, uno de ellos en suite, que ofrecen privacidad y comodidad. La cocina, equipada con electrodomésticos de alta gama, es un sueño para los amantes de la gastronomía. Imagina preparar tus platos favoritos en un espacio tan sofisticado. También encontrarás un pequeño despacho ideal para trabajar desde casa o estudiar. Situado en la 5ª planta de un edificio con encanto de 1920, disfrutarás de vistas únicas y de la tranquilidad que ofrece la altura. No solo es un piso, es un estilo de vida. La calefacción por bomba de frío/calor y el gas natural aseguran tu confort durante todo el año. Con armarios empotrados y un diseño que maximiza el espacio, este inmueble es perfecto para quienes buscan calidad y funcionalidad. ¡No dejes pasar la oportunidad de vivir en una de las mejores ubicaciones de Madrid!",True,good,False,9789.0,False,False,False,False,[],False,False,930000.0,€,flat,,"Lista, Madrid",Piso en calle del General Pardiñas,Destacado,,,5,False,True,Lista,,,,
108730463,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/00/15/1353446050.webp,587-JC,1,94990.0,flat,sale,75.0,3,1,paseo de los Ferroviarios,Madrid,Madrid,Villaverde,es,40.3456485,-3.7168875,False,https://www.idealista.com/inmueble/108730463/,"INMOBILIARIA JC TAMAYO, vende OPORTUNIDAD DE PISO, en Villaverde, OCUPADO! La vivienda de unos 75 m2 aprox. cuenta con tres habitaciones, un baño, salón comedor, cocina y terraza.  No se puede visitar, porque la vivienda se encuentra ocupada ilegalmente, de ahí el precio por el que se vende. Para cualquier consulta o duda ponte en contacto con nostros y te ayudamos!",False,renew,False,1267.0,False,False,False,False,[],False,False,94990.0,€,flat,,"Villaverde Alto, Madrid",Piso en paseo de los Ferroviarios,Destacado,,,3,True,False,Villaverde Alto,99990.0,5000.0,5.0,
108574341,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/97/3a/1356213058.webp,,13,400000.0,flat,sale,52.0,2,1,calle de Cartagena,Madrid,Madrid,Barrio de Salamanca,es,40.4371605,-3.671956,False,https://www.idealista.com/inmueble/108574341/,"EXCLUSIVO PISO REFORMADO A ESTRENAR CON ASCENSOR, PORTERO FÍSICO, TOTALMENTE AMUEBLADO Y MUY LUMINOSO. A POCOS METROS DE AVENIDA DE AMERICA Se vende espectacular vivienda de 52 m², completamente reformada con materiales de alta calidad y un diseño contemporáneo muy cuidado. Lista para entrar a vivir, es ideal tanto como primera residencia como para inversión. La distribución es funcional, moderna y acogedora. Dispone de un amplio salón-comedor con grandes ventanales que aportan abundante luz natural, cocina abierta completamente equipada, dos dormitorios y un baño moderno con acabados de diseño. La cocina se presenta amueblada y panelada, con electrodomésticos integrados de gama alta. Los armarios empotrados incluyen iluminación interior, los suelos son porcelánicos de gran formato, y las ventanas tipo Climalit garantizan aislamiento térmico y acústico. El baño cuenta con grifería y mobiliario de diseño, y la encimera es porcelánica, resistente y elegante. El edificio cuenta con ascensor y portero físico, lo que añade comodidad y seguridad al día a día. Está ubicado en una zona estratégica, a pocos minutos a pie de Avenida de América, con excelentes conexiones de transporte y todos los servicios a su alrededor. Una oportunidad única para quienes buscan comodidad, estilo y ubicación. Contacta con nosotros para más información o para concertar una visita.",True,good,False,7692.0,False,False,False,False,[],False,False,400000.0,€,flat,,"Guindalera, Madrid",Piso en calle de Cartagena,Destacado,,,6,False,True,Guindalera,,,,
108574413,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/93/b0/2b/1348863372.webp,RP222025139323,16,239900.0,flat,sale,70.0,3,1,Barrio Zarzaquemada,Madrid,Leganés,Zarzaquemada,es,40.3382321,-3.7516825,False,https://www.idealista.com/inmueble/108574413/,"¡oportunidad! vivienda en zarzaquemada, de 3 dormitorios, baño, cocina y salón comedor con acceso a terraza abierta. Ascensor y acceso a personas con movilidad reducida. Situado en un barrio consolidado, con todos los servicios a tu alcance: supermercados, colegios, centro de salud, etc, y con excelentes conexiones de transporte público, cerca del metro y de la renfe. No dude en visitar el inmueble sin ningún tipo de compromiso. Recuerde que nuestro departamento financiero d. Credit, puede gestionar su hipoteca, le ofreceremos las mejores condiciones. Este anuncio no es vinculante, puede contener errores, y esta sujeto a posibles modificaciones (comerciales, jurídicas o por expreso deseo de la propiedad). Se muestra a título informativo y no contractual. La informacion aquí contenida no debe considerarse como oferta de compra o financiacion, debiendo para esta finalidad dirigirse a nuestro departamento financiero, nuestro comercial o nuestras oficinas, para ofrecerle una informacion más detallada vinculada con el inmueble.",True,good,False,3427.0,False,False,True,False,[],False,False,239900.0,€,flat,,"Zarzaquemada, Leganés",Piso,Destacado,,,8,True,True,Zarzaquemada,249900.0,10000.0,4.0,
108625695,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/32/8b/1352885359.webp,,11,320000.0,flat,sale,56.0,1,1,Barrio Berruguete,Madrid,Madrid,Tetuán,es,40.4569699,-3.7046762,False,https://www.idealista.com/inmueble/108625695/,"¡Descubre tu nuevo hogar en el encantador barrio de Estrecho! Este piso de 50 m² es el refugio perfecto para quienes buscan un espacio luminoso y acogedor. Situado en una calle tranquila, ofrece la paz que necesitas después de un largo día. Con un diseño reformado, cuenta con una habitación amplia y un baño moderno, ideal para disfrutar de la comodidad diaria. El piso también dispone de armarios empotrados, lo que maximiza el espacio de almacenamiento. Además, la ubicación es inmejorable: a pocos pasos de varias paradas de metro y rodeado de negocios que facilitan la vida cotidiana. No pierdas la oportunidad de vivir en un lugar que combina tranquilidad y accesibilidad. ¡Ven a verlo y enamórate de tu nuevo hogar!",False,good,False,5714.0,False,False,False,False,[],False,False,320000.0,€,flat,,"Berruguete, Madrid",Piso,Destacado,,,1,True,True,Berruguete,,,,
108555264,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/55/c6/1348335840.webp,RP222025139203,16,229900.0,flat,sale,78.0,3,1,Barrio Zarzaquemada,Madrid,Leganés,Zarzaquemada,es,40.3336218,-3.7566193,False,https://www.idealista.com/inmueble/108555264/,"¡oportunidad! vivienda en zarzaquemada de 3 dormitorios, baño completo, cocina y salón comedor. Situado en un barrio consolidado, con todos los servicios a tu alcance: supermercados, colegios, centro de salud, etc. , con excelentes conexiones de transporte público, cerca del metro y de la renfe. No dude en visitar el inmueble sin ningún tipo de compromiso. Recuerde que nuestro departamento financiero d. Credit, puede gestionar su hipoteca ofreciéndole las mejores condiciones. Este anuncio no es vinculante, puede contener errores, y esta sujeto a posibles modificaciones (comerciales, jurídicas o por expreso deseo de la propiedad). Se muestra a título informativo y no contractual. La informacion aquí contenida no debe considerarse como oferta de compra o financiacion, debiendo para esta finalidad dirigirse a nuestro departamento financiero, nuestro comercial o nuestras oficinas, para ofrecerle una informacion más detallada vinculada con el inmueble.",True,good,False,2947.0,False,False,False,False,[],False,False,229900.0,€,flat,,"Zarzaquemada, Leganés",Piso,Destacado,,,9,True,True,Zarzaquemada,239900.0,10000.0,4.0,
