propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,newDevelopmentFinished
107821104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/7f/32/1345682646.webp,TGG-2200224,33,278800.0,chalet,sale,202.0,6,4,calle del Río Jarama,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,40.367242,-3.5340863,False,https://www.idealista.com/inmueble/107821104/,"¡IMPORTANTE, POR FAVOR LEER ATENTAMENTE! SOLO PARA INVERSORES, YA QUE NO SE PUEDE VIVIR NI OCUPAR LA VIVIENDA HASTA EL FALLECIMIENTO DEL USUFRUCTUARIO. NO ES POSIBLE PEDIR HIPOTECA Por expreso deseo de la propiedad no se muestra la dirección exacta del inmueble. Se vende la NUDA PROPIEDAD de esta vivienda de 202 m2, valorada aproximadamente en 600.000 euros a cambio de un anticipo de 278.800 € y una renta vitalicia constante de 3.600 €/mes, es decir, hay que pagar una renta mensual por el mencionado importe, hasta que fallezca la persona que vive en ella (la usufructuaria). La esperanza media de vida estimada actualmente para las mujeres es de unos 84 años aproximadamente. La Usufructuaria (mujer de 89 años), continuará utilizando el inmueble hasta su fallecimiento, por lo que no es posible hacer uso de la misma mientras tanto. Se trata de una vivienda unifamiliar con una fantástica ubicación, muy bien comunicada, con piscina comunitaria, e instalaciones deportivas y de recreo para niños.  Consta de tres plantas (incluida buhardilla) distribuidas en salón-comedor, seis habitaciones, tres baños completos y un aseo. También posee garaje, amplia terraza y jardín privado. SI ESTÁ PENSANDO EN VENDER O ALQUILAR UNA PROPIEDAD, CUENTE CON LA INMOBILIARIA MEJOR VALORADA DE NUESTRA ZONA: TGG INMOBILIARIA. Los datos de este anuncio son meramente informativos, no vinculantes ni contractuales, y pueden ser susceptibles de contener errores. Se informa al cliente que los gastos de notaría, tasación, registro, gestoría, impuesto de transmisiones, gastos financieros, gastos de gestión u honorarios de intermediación de la agencia, y/o cualquier otro gasto inherente a la compraventa, no están incluidos en el precio publicado y corresponden a la parte compradora.",False,good,False,1380.0,True,False,False,False,[],False,False,278800.0,€,True,True,chalet,terracedHouse,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Chalet adosado en calle del Río Jarama,,,,,,,,,
108613296,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/cd/d8/1349961903.webp,,35,178000.0,flat,sale,27.0,1,1,CL ANTONIO LOPEZ,Madrid,Madrid,Carabanchel,es,40.3951075,-3.7128563,False,https://www.idealista.com/inmueble/108613296/,"PERMONT CONSULTORES INMOBILIARIOS presenta **Piso en Venta en el Corazón de Comillas, Madrid** Descubre este encantador piso en el vibrante barrio de Comillas, ideal para quienes buscan una inversión con alta rentabilidad, ubicado en una zona de alto flujo, no solo por su gran diversidad gastronómica de la zona, sino también por la buena comunicación y cercanía con el centro lo convierte en una vivienda ideal para el alquiler.  Situado en un tercer piso (Con altura equivalente a un segundo), este acogedor espacio de 27 m² cuenta con un dormitorio y un baño, perfecto también para solteros o parejas que quieren comprar su primera vivienda y que desean mudarse a un con mucho ambiente artístico y dinámico.  Con ventanas en todas las estancias permitiendo ventilación cruzada y mucha luz. La finca construida en 1930, se mantiene en muy buen estado, con la ITE(Inspección Técnica de Edificios) Favorable hasta el 2033. La ubicación es inmejorable, con acceso directo a la M30 y fácil conexión a la A42. Además, la estación de metro Marqués de Vadillo (línea 5) y Renfe Cercanías Pirámides están a pocos minutos a pie. Con múltiples líneas de autobuses, incluyendo la línea 23 que te lleva directamente a la Plaza Mayor, moverte por Madrid nunca ha sido tan sencillo.  Rodeado de servicios y comercios, este piso se encuentra cerca de colegios, centros de salud y zonas verdes. El Parque Madrid Río está a solo un paso, ideal para pasear o practicar deportes al aire libre. Y si te gusta la cultura, el Matadero y Naves del Español están muy cerca, ofreciendo una variada oferta de restauración y entretenimiento, además si lo tuyo son las compras también a solo 10 minutos tenemos el centro comercial Plaza Madrid Rio 2. No pierdas la oportunidad de adquirir este inmueble en un barrio en auge, donde la calidad de vida y la comodidad se combinan a la perfección.  ¡Contáctanos para más información y ven a visitarlo!",True,renew,False,6593.0,True,False,False,False,[],False,False,178000.0,€,,,flat,,"Comillas, Madrid",Piso en Cl Antonio Lopez,3,False,Comillas,False,185000.0,7000.0,4.0,,
108698609,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/22/91/1352656909.webp,0015-07376,37,1100000.0,flat,sale,153.0,4,2,calle de la Princesa,Madrid,Madrid,Moncloa,es,40.4327537,-3.7167168,False,https://www.idealista.com/inmueble/108698609/,"Piso Amplio y Luminoso en Argüelles - ¡Tu Nuevo Hogar Te Espera!  Descubre este espectacular piso de 153 m² construidos, en el corazón de Argüelles, ideal para quienes buscan un espacio amplio y lleno de luz.  Según la distribución actual, el piso se compone de hall de entrada, salón-comedor que se ilumina a través de dos grandes ventanas y con un pequeño balcón. Cuenta con un despacho o sala de estar que ofrece mucha versatilidad para tus necesidades y de tres dormitorios de buen tamaño, equipados con armarios empotrados, ideales para aprovechar al máximo el espacio. Dos cuartos de baño completos. Cocina muy amplia. Este inmueble, situado en una finca clásica con ascensor y montacargas, cuenta con calefacción central y agua caliente mediante caldera individual de gas natural.  También incluye un trastero como anejo, perfecto para almacenar lo que necesites.  La ubicación es inmejorable, a un paso del Parque del Oeste, del Templo de Debod y de la plaza de España, rodeado de pequeño comercio de proximidad y junto al Corte Inglés, cuenta con todos los servicios, además de colegios y universidades de reconocido prestigio, para hacerte la vida más sencilla.  Las comunicaciones son excelentes, con fácil acceso a las principales vías como la N6, M30 y M40. No dejes pasar la oportunidad de reformar este piso a tu estilo y convertirlo en el hogar de tus sueños. ¡Contáctanos para más información y ven a visitarlo!",False,renew,False,7190.0,True,False,False,False,[],False,False,1100000.0,€,,,flat,,"Argüelles, Madrid",Piso en calle de la Princesa,2,True,Argüelles,True,,,,,
108692464,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7a/7e/10/1352306952.webp,,25,195000.0,studio,sale,32.0,0,1,calle de Cadarso,Madrid,Madrid,Moncloa,es,40.4213809,-3.7129013,False,https://www.idealista.com/inmueble/108692464/,"Agencia inmobiliaria de MADRID zona ARGUELLES - PLAZA ESPAÑA - CONDE DUQUE Oficina Tecnocasa  EN VENTA: OPORTUNIDAD DE INVERSIÓN. ALTA RENTABILIDAD. Piso situado en planta sótano de 32m2, en la residencial C/Cadarso. La vivienda está recientemente reformada. El apartamento es tipo estudio con cocina independiente y baño completo con plato de ducha. Con acceso directo a patio comunitario. Su ubicación es excelente, en una de las mejores zonas de Madrid, en el distrito de Argüelles, rodeado de parques y zonas de ocio. A un lado de la calle, el Templo de Debod y el Parque del Oeste, ideal para pasear a tu mascota, salir a correr y ver la puesta de sol desde el mirador. Al otro lado, se encuentra el Palacio Real y la recién reformada Plaza de España, que conecta los Jardines de Sabatini con el Templo de Debod, peatonalizando toda la zona, dotada de carril bici, fuentes, grandes paseos y nuevas arboledas. A pocos minutos, tenemos todo tipo de servicios: desde cines y teatros en Gran Vía, Plaza de los Cubos y Paseo de la Florida, hasta centros comerciales como el de Príncipe Pio, el Corte Inglés de calle Princesa, y una gran cantidad de supermercados (Día, Carrefour, SúperCor, la Despensa) y toda clase de pequeños comercios de barrio.",False,good,False,6094.0,True,False,False,False,[],False,False,195000.0,€,,,flat,studio,"Argüelles, Madrid",Estudio en calle de Cadarso,st,False,Argüelles,False,,,,,
106961231,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/2a/13/1298805439.webp,WGI00825,33,313000.0,chalet,sale,119.0,4,3,paseo de la Ermita,Madrid,Pedrezuela,,es,40.7431367,-3.6005644,False,https://www.idealista.com/inmueble/106961231/,"WGI (WeGet Inmobiliaria) VENDE en EXCLUSIVA CASA en UBICACIÓN INMEJORABLE. VIVIENDA de 203 m² en una parcela de 267 m² la cual consta de una CASA de 3 PLANTAS distribuidas en PLANTA PRINCIPAL, BUHARDILLA, PLANTA BAJA Y PATIO TRASERO/JARDIN. DESTACAMOS que la propiedad cuenta con GRAN ESPACIO EXTERIOR con PATIOTRASERO de 183m2. En la PLANTA PRINCIPAL ofrece 3 HABITACIONES (una de ellas con armario empotrado), 1 BAÑO COMPLETO con plato de ducha instalado, SALÓN, COCINA INDEPENDIENTE con chimenea. En la BUHARDILLA, nos ofrece una amplia estancia donde nos encontramos un aseo y una gran zona diáfana que nos da muchas opciones para realizar reformas. En la PLANTA BAJA, nos encontramos con un SALON, una HABITACION, un ASEO y dos habitaciones usadas para almacenaje. También contamos con un acceso a la parte del patio trasero. En el PATIO TRASERO de la vivienda se encuentra UN JARDIN y UNA CASETA de almacenaje, y en el PATIO DELANTERO encontramos un espacio de 20m2 donde poder disfrutar de la naturaleza del entorno, además el inmueble se ubica en una calle principal de la localidad. La propiedad se encuentra a 50 metros de una PARADA DE AUTOBUS con destino MADRID, así como a escasos metros del casco urbano. VIVIENDA PARA DESCUBRIR EN UNA VISITA. Si estas interesado en ver esta vivienda contacta con nosotros y pondremos a tu disposición nuestro equipo de especialistas en el sector inmobiliario, así como nuestro DEPARTAMENTO FINANCIERO para obtener la hipoteca y te daremos asesoría legal y fiscal en la operación.",False,good,False,2630.0,True,False,False,False,[],False,False,313000.0,€,,,chalet,independantHouse,Pedrezuela,Casa independiente en paseo de la Ermita,,,,,,,,,
108683407,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/a8/e6/1355985052.webp,,33,415000.0,flat,sale,59.0,3,2,calle del Salitre,Madrid,Madrid,Centro,es,40.4104803,-3.6993131,False,https://www.idealista.com/inmueble/108683407/,"Agencia inmobiliaria de MADRID zona ANTÓN MARTÍN - LAVAPIÉS - LAS CORTES - REINA SOFÍA Oficina Tecnocasa ¡VENDE! Exclusiva vivienda completamente REFORMADA y AMUEBLADA con materiales de alta calidad, ubicada en una luminosa primera planta en la CALLE SALITRE. La propiedad se distingue por sus TRES BALCONES exteriores, que proporcionan excelente luz natural a todas las estancias. Dispone de tres dormitorios, cada uno con balcón, televisión, cama y armarios empotrados, dos baños completos, un salón interior funcional y una cocina americana de diseño equipada con electrodomésticos de ALTA GAMA. Además, cuenta con instalación de gas natural y sistema de calefacción mediante radiadores, lo que garantiza un alto nivel de confort y eficiencia energética. ¡Excelente zona! Antón Martín es sin dudas uno de los barrios más alternativos de Madrid. En él conviven comercios tradicionales con locales modernos de ambiente cosmopolita y pequeñas tiendas donde encontrar moda y objetos curiosos. Punto de encuentro de gente diferente de todas las edades que tienen en común el gusto por descubrir el encanto de los barrios peculiares. Centros culturales, teatros y museos, así como mercados, restaurantes y bares, ofrecen a visitantes y locales una variada propuesta cultural, de ocio y gastronómica. Gracias por confiar en nosotros! Nos avalan 20 años de experiencia en la zona, formando parte de esta gran empresa, líder en España y Europa en el sector de la intermediación inmobiliaria. ¿Quiere conocer el valor real de su inmueble? Ofrecemos a nuestros vecinos VALORACIONES GRATUITAS y sin ningún compromiso de viviendas, locales y plazas de garaje. Asesoramiento y gestión en: COMPRAVENTA, ARRENDAMIENTO, CAMBIO de VIVIENDA, HERENCIA, VENTA DE NUDA PROPIEDAD, VENTA DE PROINDIVISO, CAMBIO de USO, CERTIFICADO ENERGÉTICO. Nuestro departamento KIRON, expertos en intermediación financiera, le ayudarán a encontrar la solución hipotecaria que mejor se adapte a sus necesidades. Estamos a su disposición para cualquier consulta.",False,good,False,7034.0,True,False,False,False,[],False,False,415000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle del Salitre,1,True,Lavapiés-Embajadores,False,,,,,
108602015,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/c6/15/1349676265.webp,0096-01129,37,3750000.0,flat,sale,250.0,3,4,calle de Núñez de Balboa,Madrid,Madrid,Barrio de Salamanca,es,40.426428,-3.6808487,False,https://www.idealista.com/inmueble/108602015/,"109  Espectacular vivienda con terraza totalmente reformada en planta alta, decorada y amueblada en una de las calles más demandadas del barrio de Recoletos, del distrito de Salamanca. Excelente ubicación junto a la calle Velazquez, José Ortega y Gasset y Hermosilla. Junto en pleno cogollo de la MILLA DE ORO donde disfrutar tanto de un día de compra en tiendas como Versace, Michael Kors, Dior, Valentino,…y también de sus restaurantes como El Paraguas, Única, Lobito de Mar, Quintín, Amazonico,…. Superficie: 250 m2 construidos catastrales + PLAZA DE GARAJE Piso ha sido reformado con las mejores calidades por estudio de arquitectura de prestigio. Aire acondicionado por conductos con reguladores independientes en cada estancia, domótica. Todos los armarios y vestidores, de suelo a techo, están vestidos y disponen de luz led aprovechando al máximo la capacidad de almacenaje. La zona noble de la casa está distribuida en una zona de recibo, amplio salón distribuido en varios ambientes con acceso a una terraza agradable. La terraza privada es el lugar ideal para disfrutar de momentos de relax o compartir con amigos y familia, todo mientras disfrutas de unas vistas despejadas que te invitan a desconectar.  Aseo de invitados. Cocina de isla amueblada con electrodomésticos de gama alta de la marca SMEG. Cafetera, vinoteca, columna horno y microondas. Encimera porcelánica. Además, la vivienda dispone de una moderna y elegante área de lavandería con un diseño de alta gama. Encimera de mármol blanco con vetas grises, que aporta un estilo sofisticado y limpio al espacio. Fregadero doble negro empotrado con un grifo de diseño minimalista y acabado negro mate. Electrodomésticos de SIEMENS de gama alta y gavetas con gran capacidad de almacenaje. Puerta de servicio. La zona de noche cuenta con 3 dormitorios principales en suite. Además, cuenta con dormitorio de servicio con su baño en suite. Master suite espaciosa con armarios de suelo a techo con gran capacidad y ventanal de suelo a techo que inunda el dormitorio de luz natural.  También cuenta con iluminación empotrada luz LED indirecta. Amplio baño con mueble suspendido de madera natural con doble lavabo cerámico ovalado. Gran espejo retroiluminado LED de gran formato, que proporciona una iluminación suave y homogénea, ideal para el uso diario y con un efecto visual de amplitud.Inodoro suspendido y el radiador toallero cromado. Las zonas comunes del edificio están muy bien mantenidas.  Orientación sur, este y oeste muy luminoso. Excelente comunicación. Portero. Plaza de garaje dentro del edificio. Esta propiedad se vende amueblada, pensada para aquellos que buscan un hogar que combine estilo, confort y exclusividad. No deje pasar la oportunidad de adquirir una propiedad única en una de las ubicaciones más prestigiosas de Madrid.  ¡Contáctenos para más información y concertar una visita!",False,good,False,15000.0,True,True,False,False,[],False,False,3750000.0,€,True,True,flat,,"Recoletos, Madrid",Piso en calle de Núñez de Balboa,5,True,Recoletos,True,,,,,
108746594,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/2e/39/1353907243.webp,DANI-CENTRO,28,659999.0,flat,sale,198.0,4,2,calle San José de Calasanz,Madrid,Getafe,Getafe Centro,es,40.3128027,-3.7310782,False,https://www.idealista.com/inmueble/108746594/,"GRUPO INMOBILIARIO TIZONA GETAFE VENDE, en exclusiva, este fantástico piso ubicado en la zona de más prestigio de la ciudad de Getafe totalmente reformado en 2019.  Imagina vivir en un espacio que combina comodidad, modernidad y una ubicación inmejorable. Te presentamos una magnífica propiedad en el Centro de Getafe. Esta impresionante vivienda cuenta con 198 metros cuadrados construidos. Diseñada pensando en el confort y la funcionalidad, esta propiedad ofrece un amplio salón comedor, ideal para disfrutar de momentos inolvidables con la familia y amigos con salida a terraza.  Las paredes lisas y los suelos de tarima AC-5.  Las carpintería de aluminio R70, abatibles y oscilobatientes con rotura de puente térmico, vidrio laminar de seguridad 3+3 mm en la cara interior y vidrio con aislamiento térmico planiterm de 4 mm cara exterior, asegura un ambiente tranquilo y bien aislado. Con cuatro dormitorios dobles, esta propiedad es perfecta para familias y parejas que buscan un espacio amplio y cómodo en el que crecer y prosperar. Los dos baños son una muestra de lujo y modernidad, con un plato de ducha con suelo antideslizante PROFILTEC en el baño principal y bañera en el otro, proporcionando un refugio perfecto para relajarse después de un día ajetreado. La vivienda dispone de aire acondicionado y bomba de calor por conductos, que suministran a todas las estancias de la vivienda con termostato de ambiente. También dispone de calefacción de gas natural. La ubicación es otra de las grandes ventajas de esta propiedad. Situada cerca de supermercados, zonas comerciales, farmacias, guarderías, colegios e institutos, tendrás todo lo que necesitas a un paso. Además, la proximidad a la estación Getafe Centro (Línea 12 de Metro y C4 de Cercanías) y a las principales líneas de autobuses (442, 441, etc.) te asegura una excelente conexión con el resto de la ciudad y más allá. Y si eres estudiante o profesional vinculado a la Universidad Carlos III, la cercanía a esta institución, a solo 500 metros, te resultará especialmente conveniente. Para aquellos que valoran la seguridad y la comodidad de tener su vehículo a buen recaudo, la vivienda incluye en el precio una plaza de garaje, una facilidad que añade aún más valor a esta oferta. Este hogar está listo para entrar a vivir, con instalaciones eléctricas y de fontanería completamente renovadas, asegurando que no tendrás que preocuparte por futuras reparaciones y podrás disfrutar de tu nuevo hogar desde el primer día. En resumen, esta propiedad no solo es un lugar ideal para vivir, sino que también representa una oportunidad de inversión excepcional. Getafe es una zona en constante crecimiento y revalorización, lo que la convierte en una elección sabia para inversores que buscan propiedades de alta rentabilidad. Si estás buscando un hogar espacioso, moderno y perfectamente ubicado, o una inversión inmobiliaria que prometa un alto retorno, esta propiedad en Getafe es la elección perfecta. No pierdas la oportunidad de conocerla y enamorarte de tu futuro hogar. Contáctanos hoy mismo para más información y para concertar una visita. ¡Estamos seguros de que te encantará! IMPUESTOS NO INCLUIDOS. CONTAMOS CON UN DEPARTAMENTO FINANCIERO DONDE PUEDE ASESORARSE SIN COMPROMISO ALGUNO. CONJUNTO DE HONORARIOS INCLUIDOS EN EL PRECIO.",False,good,False,3333.0,False,False,False,False,[],False,False,659999.0,€,True,True,flat,,"Getafe Centro, Getafe",Piso en calle San José de Calasanz,3,True,,True,669999.0,10000.0,1.0,,
108691676,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/cc/ea/1352277818.webp,,32,550000.0,flat,sale,71.0,1,1,"CL COLOMBIA, 39",Madrid,Madrid,Chamartín,es,40.4571134,-3.6722708,True,https://www.idealista.com/inmueble/108691676/,"Ponemos a la venta esta excelente vivienda situada en una tranquila y cuidada zona residencial, ideal tanto para vivir como para invertir. El edificio cuenta con servicio de conserjería, lo que aporta comodidad y seguridad adicional. La vivienda destaca por su distribución funcional y luminosidad:  Salón amplio y muy luminoso, con grandes ventanales y armarios empotrados  Habitación interior con muy buena entrada de luz natural  Baño completo, moderno y bien conservado  Cocina exterior completamente equipada, lista para su uso  Varios armarios empotrados, perfectos para optimizar el espacio  Ubicada en una zona con todos los servicios al alcance: supermercados, centros educativos, parques, centros de salud y una excelente conectividad en transporte público.  Una oportunidad única para quienes buscan confort, ubicación y rentabilidad.",True,good,False,7746.0,True,False,False,False,[],False,False,550000.0,€,,,flat,,"Bernabéu-Hispanoamérica, Madrid","Piso en Cl Colombia, 39",2,True,Bernabéu-Hispanoamérica,True,,,,,
108614243,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/cf/fa/1358381703.webp,26235,30,280000.0,flat,sale,100.0,3,1,Urbanización Pryconsa,Madrid,Collado Villalba,Parque de la Coruña - Las Suertes,es,40.6230569,-4.0198417,False,https://www.idealista.com/inmueble/108614243/,"Fabuloso bajo de 3 habitaciones y 1 baño, en Collado Villalba.    100 m2 construidos. 97 m2 útiles. Orientación Sur - Este.    Salón de paso con chimena.    Balcón.    Cocina independiente con tendedero.    Calefacción con gas natural.    Trastero en ático.    Armarios empotrados, suelo de gres, ventanas de aluminio y puertas de madera.    Piscina y pista de tenis.    NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",True,good,False,2800.0,False,False,False,False,[],False,False,280000.0,€,,,flat,,"Parque de la Coruña - Las Suertes, Collado Villalba",Piso en Urbanización Pryconsa,bj,True,,False,290000.0,10000.0,3.0,,
