propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106066363,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/3e/13/1271466028.webp,Duplex BB2+oficina,27,bj,359700.0,duplex,sale,136.0,True,3,3,"calle Federico Orellana, 15",Madrid,San Lorenzo de El Escorial,Centro - Casco Histórico,es,40.595415,-4.1343848,True,https://www.idealista.com/obra-nueva/106066363/,"“Vive en rodeado de naturaleza y cerca un municipio histórico’ Situada en una de las mejores zonas de San Lorenzo de Escorial en la calle Federico Orellana, 15, en un entorno natural, apacible, seguro y consolidado cerca de centros deportivos y comerciales, además del hospital. Ideal para los amantes del senderismo y mountain bike. San Lorenzo del Escorial es un municipio histórico, turístico, universitario, con campo de Golf, innumerables servicios y buena comunicación con Tren de Cercanías y autobús que conectan con Madrid Capital. La promoción está compuesta por tres pintorescos edificios con fachada a dos aguas y tonalidades suaves. Cada uno de los bloques están formados por 4 viviendas en formato dúplex bien orientados al sur. Cada uno de ellos dispondrá jardín, terraza ó abuhardillado. Desde ahí podrá disfrutar de las excelentes vistas al horizonte con el pantano Valmayor, sus vistas laterales al Monasterio del Escorial, así como el Pico Abantos. Tiene una distribución muy estudiada y funcional, que se adapta según sus necesidades familiares y de teletrabajo (ver planos). Son viviendas de buenas calidades con las cocinas completamente amuebladas y completamente equipadas con todos los electrodomésticos, calefacción por gas natural, tarima de gran resistencia imitación madera. Disponemos de un piso piloto completamente amueblado. Estaremos encantados de atenderle y mostrarle las calidades que dispone la promoción.",False,newdevelopment,True,False,False,2645.0,True,False,False,False,[],False,False,359700.0,€,True,True,flat,duplex,"Centro - Casco Histórico, San Lorenzo de El Escorial","Dúplex en calle Federico Orellana, 15",Destacado,,,,
106862966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/d3/f6/1296193014.webp,Ático C,41,3,559000.0,penthouse,sale,55.0,True,2,1,"calle Germán Pérez Carrasco, 40",Madrid,Madrid,Ciudad Lineal,es,40.4357117,-3.6439889,True,https://www.idealista.com/obra-nueva/106862966/,"Última Unidad ALMA GPC-40. Extraordinario edificio en la calle Germán Pérez Carrasco nº 40. A sólo una manzana de la calle Alcalá, muy bien comunicado por metro (Pueblo Nuevo, líneas 5 y 7) y autobuses (líneas 38, 109, 113 y N5). Situado en un barrio con todo tipo de comercio y servicios, va a disfrutar de unas calidades muy superiores a lo acostumbrado. Será un complejo exclusivo, que disfrutará de la certificación energética A, gracias a los materiales utilizados para su construcción y a su sistema de climatización, mediante suelo radiante/refrescante y preinstalación de aire acondicionado. La producción para la calefacción, climatización y ACS se realizará mediante un sistema de Aerotermia. Cada vivienda tendrá instalado un sistema de ventilación mecánica de doble flujo con recuperador de calor. De impecable estética, la fachada exterior será ventilada en acabado de piedra. La urbanización está completamente cerrada, con un portal decorado con vegetación, espejos y piedra natural; dispondrá en su parte trasera de una zona ajardinada y una piscina exterior. Para uso de la comunidad, se instalarán placas fotovoltaicas. La carpintería de PVC o aluminio será de máxima calidad, con altas prestaciones térmicas, con opción de motorizar persianas. Asimismo, opcionalmente se podrá instalar un sistema de domótica (consta de preinstalación) con varias opciones disponibles. Las cocinas están completamente amuebladas.   Opcionalmente, además de la domótica y la motorización de persianas, se ofrecerá la instalación de aire acondicionado y de cargador para vehículo eléctrico, así como diferentes acabados de solado, alicatado de baños, acabados de muebles y encimeras de cocina y el color de pintura de las viviendas.",False,,True,True,False,10164.0,True,False,False,False,[],False,False,559000.0,€,True,True,flat,penthouse,"Quintana, Madrid","Ático en calle Germán Pérez Carrasco, 40",Destacado,Quintana,,,
108561956,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/b1/43/1348519190.webp,3248-24867,45,2,143500.0,flat,sale,124.0,True,4,1,CL GENERAL MARTINEZ BENITO,Madrid,San Martín de Valdeiglesias,,es,40.3607569,-4.3944529,False,https://www.idealista.com/inmueble/108561956/,"Amplia vivienda de 4 dormitorios y 2 terrazas en el casco urbano de San Martín de Valdeiglesias, en un pequeño edificio de tan sólo 3 vecinos construido en los años 80. Nuestra vivienda se encuentra en la segunda y última planta, sin ascensor, con doble orientación Sur – Norte y unas preciosas vistas al entorno natural y urbano. Los gastos de mantenimiento son mínimos: unos 100 €/año aproximadamente de Comunidad, y 175 €/año de IBI. El edificio cuenta con un patio trasero de uso privativo para los 3 vecinos, muy bien cuidado y mantenido. El piso se distribuye en: recibidor, salón comedor de gran tamaño, cocina independiente con zona de tendedero y salida a la terraza orientación Sur, pasillo distribuidor, 4 dormitorios todos ellos dobles (2 a Norte y 2 a Sur), uno de ellos con salida a la otra terraza, y un baño completo muy grande, que perfectamente se podría dividir para sacar 2 baños. Las calidades son de origen, si bien la vivienda está muy bien conservada y mantenida. El suelo es de terrazo, las ventanas correderas de aluminio con cristal sencillo, carpintería de madera en buen estado, agua caliente mediante calentador de gas butano, actualmente no dispone de sistema de calefacción, si bien sólo sería necesaria la instalación de una moderna caldera de gas natural para dar servicio al circuito de calefacción por radiadores, con los que sí cuenta el piso. La instalación eléctrica y de fontanería son de origen aunque totalmente funcionales. ATENCIÓN: Precio publicado en los anuncios no vinculante sino meramente orientativo. En el caso de haber dos o más clientes interesados en la propiedad se tendrá en cuenta la oferta económica más alta, no condicionada, y sujeta a elección y aceptación de la propiedad. Pudiendo situarse las ofertas de compra en firme por encima del precio fijado en el presente anuncio. DESCRIPCIÓN ZONA: San Martín de Valdeiglesias se ubica a tan sólo 68 kms. del centro de Madrid, a 1 hora en coche por la M-501 (carretera de los Pantanos), siendo autovía hasta Navas del Rey. Es una de las localidades de referencia de la sierra oeste, entre los embalses de San Juan y El Burguillo (en Ávila), que constituyen una de las principales áreas recreativas en la Naturaleza de la Comunidad de Madrid. Cuenta con todas las dotaciones y servicios, siendo apta tanto para vivir como para segunda residencia o de fines de semana. Cuenta con supermercados Carrefour, Mercadona, Dia, centro de salud, clínica veterinaria, colegios de educación infantil y primaria, instituto, escuela oficial de idiomas, UNED, biblioteca municipal, etc. COMUNICACIONES: Estamos a unos 200 metros de la Estación de Autobuses, con la Línea 551 (Cevesa) directa a Príncipe Pío en poco más de 1 hora de trayecto.",False,good,False,False,,1157.0,True,False,False,True,[],False,False,143500.0,€,,,flat,,San Martín de Valdeiglesias,Piso en Cl General Martinez Benito,Destacado,,,,
108275682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/64/05/1339240543.webp,3248-24780,18,3,365000.0,flat,sale,54.0,False,1,1,calle de la Cabeza,Madrid,Madrid,Centro,es,40.410677,-3.7025129,False,https://www.idealista.com/inmueble/108275682/,"Apartamento en el Madrid más clásico y más demandado de la capital, a 5 minutos de Jacinto Benavente. El edificio, una joya histórica rehabilitada en 2015, y la vivienda totalmente reformada en la misma fecha en perfecto estado. Interior con mucha luz, orientación sur, y tranquilidad, salón con 2 ambientes y gran ventanal, dormitorio independiente con armarios empotrados, baño con plato de ducha, ventana y toallero programable, y cocina con todos los electrodomésticos. La casa se vende amueblada, con un mobiliario moderno y funcional (el mobiliario de las imágenes puede no corresponder con el actual). Los costes de posesión son mínimos, 46€ de comunidad y 232€ de IBI. Durante un año va a tener una derrama de 20€ al mes para la puesta en marcha del ascensor y la instalación de cámaras de grabación para una mayor seguridad. Si lo que buscas es una inversión conservadora con bajo riesgo este apartamento, por zona, costes de posesión, estando en un edificio rehabilitado y siendo un piso reformado, esta es la elección perfecta. HAY OTRO APARTAMENTO IDÉNTICO EN EL EDIFICIO QUE SE VENDE CON INQUILINO, SI BUSCAS UNA INVERSIÓN Y QUIERES COBRAR UNA RENTA DESDE EL PRIMER DÍA, ESA ES TU OPCIÓN. Advertencia: la información contenida en este anuncio tiene fines meramente informativos, su exactitud no está garantizada, aunque una posible inexactitud nunca será por mala fe. El precio no incluye impuestos ni gastos de compraventa. SIN HONORARIOS PARA LA PARTE COMPRADORA. Contacta conmigo y te amplio información.",True,good,False,True,,6759.0,True,True,False,False,[],False,False,365000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de la Cabeza,Destacado,Lavapiés-Embajadores,375000.0,10000.0,3.0
108900221,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/b1/49/1358356062.webp,,23,1,240000.0,duplex,sale,85.0,False,2,2,CL ALONDRA,Madrid,Sevilla la Nueva,,es,40.3486014,-4.0304714,False,https://www.idealista.com/inmueble/108900221/,"¡Descubre el hogar de tus sueños en Sevilla la Nueva! Este fantástico dúplex, ubicado en una de las urbanizaciones más exclusivas de la zona, es perfecto para formar una familia en un entorno inigualable. Con acceso a piscina y parque infantil, disfrutarás de momentos inolvidables con los más pequeños. La vivienda, que se extiende a lo largo de 85 m², está dividida en dos plantas. En la primera planta, te recibe un amplio y luminoso salón con salida a la terraza, ideal para relajarte al aire libre. La cocina y un aseo completan esta planta, ofreciendo comodidad y funcionalidad.  Subiendo a la planta superior, encontrarás un baño completo reformado y dos espaciosas habitaciones, perfectas para el descanso y la privacidad. Además, cuenta con armarios empotrados y aire acondicionado, asegurando que cada rincón de tu nuevo hogar sea práctico y acogedor. No pierdas la oportunidad de vivir en este maravilloso dúplex que combina confort, estilo y una ubicación privilegiada. ¡Ven a visitarlo y déjate enamorar!",False,renew,False,False,,2824.0,False,False,False,False,[],False,False,240000.0,€,,,flat,duplex,Sevilla la Nueva,Dúplex en Cl Alondra,Destacado,,,,
108905959,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/19/9c/1358527686.webp,RP2332025140455,18,6,1200000.0,flat,sale,175.0,True,4,2,avenida del General Perón,Madrid,Madrid,Tetuán,es,40.4509749,-3.6978843,False,https://www.idealista.com/inmueble/108905959/,"Redpiso lanza en exclusiva la venta de este fantástico piso ubicado en una sexta planta en plena Avenida del General Perón a tan solo 2 min del estadio Santiago Bernabéu y zona financiera Azca.  Amplio y luminoso con grandes opciones de reforma. Las fotos que se muestran nos posibles reformas de como quedarían las estancias, de igual forma os dejamos un vídeo del estado actual. La finca cuenta con portero físico y servicios centrales. La plaza de garaje que se incluye en el precio es en la misma Avenida del General Perón, concesión del Ayuntamiento de Madrid a escasos 100m de la vivienda.  Una inversion ideal en las mejores zonas de Madrid, más consolidadas y con mayor expansión.  No dudes en reservar tu visita.",True,renew,False,True,,6857.0,True,False,False,False,[],False,False,1200000.0,€,True,True,flat,,"Cuatro Caminos, Madrid",Piso en avenida del General Perón,Destacado,Cuatro Caminos,,,
108556395,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/a6/1f/01/1348369797.webp,,16,2,520000.0,flat,sale,82.0,True,4,1,CL PAMPLONA,Madrid,Madrid,Tetuán,es,40.4543116,-3.7068132,False,https://www.idealista.com/inmueble/108556395/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este encantador piso de 82 m², ubicado en una de las mejores zonas accesibles de la ciudad. Situado en la segunda planta de un edificio con ascensor, este inmueble cuenta con tres amplios dormitorios, ideales para familias o para aquellos que buscan un espacio extra para trabajar desde casa. El salón, luminoso y acogedor, se abre a un balcón que da luz a la vivienda. La cocina, aunque necesita una pequeña reforma, ofrece un gran potencial para adaptarla a tu estilo personal. Además, el baño cuenta con lo necesario para el día a día. La orientación este-oeste garantiza luz natural durante todo el día, creando un ambiente cálido y agradable. Rodeado de una variada oferta de servicios, cafeterías y comercios, vivir aquí significa disfrutar de la comodidad de tener todo lo que necesitas a tu alcance. La cercanía a universidades como la Complutense y la excelente conexión con el transporte público (autobuses y Metro) hacen de este piso una opción ideal para estudiantes y profesionales por igual. No dejes pasar la oportunidad de visitar este piso en venta. Con su gran potencial y ubicación privilegiada, es el lugar perfecto para empezar una nueva etapa en Madrid. ¡Contáctanos y ven a verlo!",False,renew,False,True,,6341.0,True,False,True,False,[],False,False,520000.0,€,,,flat,,"Bellas Vistas, Madrid",Piso en Cl Pamplona,Destacado,Bellas Vistas,,,
108563204,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/0e/3c/1348548401.webp,CLK01/4972,11,bj,339000.0,flat,sale,57.0,True,1,1,calle de Pérez Ayuso,Madrid,Madrid,Chamartín,es,40.4453752,-3.6744376,False,https://www.idealista.com/inmueble/108563204/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Clikalia presenta este piso ubicada en el barrio de Ciudad Jardín, en Madrid. La vivienda está ubicada en la planta baja planta exterior con ascensor. Dispone de una superficie total de 57 m², distribuidos en salón y comedor, cocina abierta, 1 dormitorios y 1 baño. Además, cuenta con ascensor, terraza, cocina amueblada, armarios empotrados, aire acondicionado, trastero y accesibilidad para personas con movilidad reducida. Situado en el barrio de Ciudad Jardín, en la Calle Perez Ayuso, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Auditorio Nacional de Música, el Hospital Universitario San Rafael y del Parque de Berlín. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a las estaciones de metro Concha Espina (L9) y Prosperidad (L4). Agenda tu visita presencial y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,,5947.0,True,False,False,False,[],False,False,339000.0,€,,,flat,,"Ciudad Jardín, Madrid",Piso en calle de Pérez Ayuso,Destacado,Ciudad Jardín,345000.0,6000.0,2.0
107986187,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/62/ee/1330285895.webp,3248-24694,18,2,350000.0,flat,sale,53.0,False,1,1,calle de la Cabeza,Madrid,Madrid,Centro,es,40.4123753,-3.7009504,False,https://www.idealista.com/inmueble/107986187/,"¡SOLO INVERSORES! ¡VIVIENDA ALQUILADA HASTA 2027! Edificio rehabilitado en 2015, y vivienda totalmente reformada en la misma fecha en perfecto estado. Inquilino solvente con historial de pagos demostrable desde 2020, y obviamente a una renta que a día de hoy sería muy superior, en una zona extraordinariamente demandada por perfiles con buen poder adquisitivo y en constante revalorización. Hablamos de una inversión de bajo riesgo con buena rentabilidad acorde a dicho riesgo. Interior con mucha luz, orientación sur, y tranquilidad, inmueble muy cómodo para vivir y en una zona para vivir la experiencia del Madrid más clásico. Los costes de posesión son mínimos, 46€ de comunidad y 232€ de IBI. Durante un año va a tener una derrama de 20€ al mes para la puesta en marcha del ascensor y la instalación de cámaras de grabación para una mayor seguridad. El mobiliario de las imágenes puede no corresponder con el actual. HAY OTRO APARTAMENTO TAMBIÉN EN VENTA DE IDÉNTICAS CARACTERÍSTICAS PERO SIN INQUILINO. Advertencia: la información contenida en este anuncio tiene fines meramente informativos, su exactitud no está garantizada, aunque una posible inexactitud nunca será por mala fe. El precio no incluye impuestos ni gastos de compraventa. SIN HONORARIOS PARA LA PARTE COMPRADORA. Contacta conmigo y te amplio información.",True,good,False,True,,6604.0,True,True,False,False,[],False,False,350000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de la Cabeza,Destacado,Lavapiés-Embajadores,365000.0,15000.0,4.0
108592117,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/35/7f/1349466485.webp,L12 PISCINA CEN332,58,3,385000.0,flat,sale,102.0,True,3,2,Barrio Casco Antiguo,Madrid,Leganés,Centro,es,40.3284756,-3.7607711,False,https://www.idealista.com/inmueble/108592117/,"LÍNEA 12 PROYECTOS INMOBILIARIOS VENDE: Piso con PISCINA en pleno casco antiguo de Leganés. La vivienda se distribuye en hall de entrada, cocina, salón, tres dormitorios, dos cuartos de baño, uno en suite con bañera y el otro reformado con plato de ducha. La vivienda cuenta con dos terrazas, una de ellas con acceso desde el salón y la cocina y la otra con acceso desde dos de los dormitorios. La piscina cuenta con baños y vestuarios y está rodeada de zona verde.   Se encuentra en pleno centro de la ciudad cerca del Hospital Universitario Severo Ochoa, cerca de diferentes comercios y cerca de todos los transportes públicos, Renfe de Leganés Central y metrosur correspondiente a la Línea 12. Departamento financiero propio.",True,good,False,True,,3775.0,True,False,True,False,[],False,False,385000.0,€,,,flat,,"Casco Antiguo, Leganés",Piso,Destacado,Casco Antiguo,,,
