propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108303033,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3b/eb/92/1345497312.webp,ALRE-06169,43,140000.0,chalet,sale,225.0,3,2,Orusco,Madrid,Orusco,es,40.291391,-3.1993333,False,https://www.idealista.com/inmueble/108303033/,"¿Buscas vivienda en la Provincia de Madrid?  Century 21 Now IV Te ofrece una oportunidad para adquirir en propiedad este chalet en la localidad de Orusco de Tajuña. Cuenta con una superficie de 217 m², bien distribuidos en dos plantas sobre rasante destinadas a vivienda con garaje.  Consta de salón-comedor con cocina incluida y salida a jardín con piscina, 3 habitaciones y 2 baños. Aunque la propiedad necesita una reforma integral, tiene una estructura sólida y una distribución que permite diferentes opciones para modernizarla y aprovechar al máximo cada rincón.  Es ideal para aquellos que buscan un proyecto de renovación con un alto retorno de inversión.  Uno de los puntos más destacados de la propiedad es su jardín con piscina, un espacio perfecto para disfrutar del aire libre, organizar reuniones familiares o simplemente relajarte en tu propio hogar.  Orusco de Tajuña es una localidad tranquila pero bien conectada, ubicada a tan solo 45 minutos de Madrid capital. La proximidad con el Parque Natural del Alto Tajo garantiza un entorno de gran belleza natural, perfecto para quienes buscan paz, privacidad y contacto con la naturaleza, sin perder la comodidad de las comunicaciones a la ciudad.  Esta propiedad te ofrece la posibilidad de crear un espacio único, adaptado a tus gustos y necesidades. Necesitas más información? Llámanos y nuestro especialista en la zona te solventará cualquier duda.  Al llamar danos la referencia C0127-ALRE-06169 NO COBRAMOS HONORARIOS AL COMPRADOR CENTURY 21 Now IV ""Lo mejor de las personas al servicio de las personas"".",False,renew,False,622.0,True,False,False,False,[],False,False,140000.0,€,True,True,chalet,independantHouse,Orusco,Casa independiente,,,,,,,,,,
108530383,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/93/71/1347635093.webp,,21,640000.0,flat,sale,128.0,2,2,calle de Dulce Chacón,Madrid,Madrid,es,40.4846707,-3.6663989,False,https://www.idealista.com/inmueble/108530383/,"Te presentamos esta magnífica vivienda de 2 habitaciones y 2 baños, ubicada en una de las zonas más codiciadas de Madrid: Dulce Chacón. Situado en un edificio de calidades de lujo, este piso ofrece una combinación perfecta de diseño, comodidad y servicios premium. Con una distribución moderna y funcional, la vivienda destaca por su luminosidad, acabados de alta calidad y un ambiente acogedor. Se vende completamente amueblado, con mobiliario elegante y en perfecto estado, listo para entrar a vivir sin preocuparse por nada. Dispone de calefacción y aire acondicionado centralizados, para garantizar el máximo confort en cualquier época del año. El edificio cuenta con amplias zonas ajardinadas, piscina, gimnasio totalmente equipado, zonas comunes y servicio de vigilancia 24 horas, lo que proporciona seguridad y bienestar en el día a día. Además, el precio incluye una plaza de garaje y trastero, un valor añadido que aporta comodidad y espacio extra de almacenamiento. Una oportunidad única para quienes buscan una vivienda lista para disfrutar desde el primer día, en un entorno exclusivo, con todos los servicios al alcance y excelentes conexiones con el resto de la ciudad.",False,good,False,5000.0,True,False,False,False,[],False,False,640000.0,€,True,True,flat,,"Virgen del Cortijo - Manoteras, Madrid",Piso en calle de Dulce Chacón,6,True,Hortaleza,Virgen del Cortijo - Manoteras,True,647000.0,7000.0,1.0,,
108590018,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/31/c2/1349314692.webp,IJINMO3133,38,935000.0,chalet,sale,270.0,5,3,calle Luxemburgo,Madrid,Villaviciosa de Odón,es,40.3647941,-3.9086428,False,https://www.idealista.com/inmueble/108590018/,"IJ INMOBILIARIA, vende precioso chalet pareado en Villaviciosa de Odon. Esta distribuido en tres plantas de la siguiente forma. Planta primera: Recibidor, habitación con armario empotrado, cocina-oficce con acceso directo a la zona de lavado y jardín y salón comedor con acceso directo al porche con Jacuzzi y jardín. Planta segunda: Distribuidor, amplia suite con baño completo y vestidor (antes una habitación independiente, según plano), dos dormitorios y un baño completo. Planta semi-sótano: Gran garaje con capacidad para tres coches y otros vehículos y trastero. , que dispone de todas las preinstalaciones y además todas las estancias cuentan con ventanas. Soleado y luminoso. Ubicado en una de las mejores áreas residenciales de Villaviciosa de Odón, destaca por su tranquilidad y proximidad a todos los servicios necesarios: centros de educación (desde colegios a universidades), centros de salud (atención primaria y especialidades), comercio, restauración, zonas verdes, etc. Su emplazamiento es perfecto; por su acceso directo a la M-501 se encuentra a escasos minutos de la Ciudad Financiera del Santander y frente a la Universidad Europea de Madrid, lo que lo convierte a su vez en un buen activo para inversores. Mejor ver. INFORMATE SIN COMPROMISO.",False,good,False,3463.0,True,False,False,False,[],False,False,935000.0,€,True,True,chalet,semidetachedHouse,"Centro, Villaviciosa de Odón",Chalet pareado en calle Luxemburgo,,,Centro,,,,,,,
108318608,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/51/6d/1353495668.webp,76195,25,340000.0,flat,sale,75.0,3,1,calle de Ocaña,Madrid,Madrid,es,40.38628,-3.7512551,False,https://www.idealista.com/inmueble/108318608/,"Fabulosa oportunidad de 3 habitaciones y 1 baño, en Aluche.    75 m2 construidos. 65 m2 útiles.     Salón de paso.    Terraza de 4 m2.    Cocina independiente equipada.    Calefacción central con contador individual.    Armarios empotrados, suelo de parquet, ventanas climalit oscilobatientes con rotura de puente térmico y puertas de madera.    Ascensor y acceso con 1 escalón en el portal.    NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA.    Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no.    INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio.    Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",False,renew,False,4533.0,True,False,False,False,[],False,False,340000.0,€,,,flat,,"Aluche, Madrid",Piso en calle de Ocaña,6,True,Latina,Aluche,True,,,,,
108471969,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c7/25/bd/1345988221.webp,3454-07154,29,679000.0,chalet,sale,212.0,3,2,Barrio Club de Golf,Madrid,Las Rozas de Madrid,es,40.5539417,-3.9018693,False,https://www.idealista.com/inmueble/108471969/,"**Casa / Chalet Adosado en Venta - Urbanización Privada** Descubre este encantador chalet adosado ubicado en una tranquila urbanización cerrada, ideal para disfrutar de la comodidad y la tranquilidad.  El acceso a la acogedora vivienda es por un patio adornado con plantas y un espectacular níspero. Un luminoso hall acristalado te da la bienvenida a un salón abuhardillado en dos ambientes, uno con chimenea, perfecto para momentos de relax en familia y la zona de comedor. La amplia cocina tiene otro acceso a la vivienda y da a una calle donde puedes aparcar el coche para descargar la compra. Además en esta planta hay un práctico aseo y un garaje, que añaden funcionalidad a la distribución. En la planta superior, encontrarás tres amplios dormitorios (antes cuatro), todos con vistas despejadas y mucha luz natural. El gran baño (antes dos), que combina ducha y bañera, ofrece un oasis de bienestar. Además, la buhardilla, equipada con dos ventanas Velux, se presenta como una versátil opción pudiéndose adaptar a tus necesidades como un cuarto dormitorio, despacho, sala de juegos.. . La urbanización destaca por sus zonas comunes bien cuidadas, que incluyen piscina, jardines y una pista deportiva multiusos. La instalación de aerotermia reciente asegura un consumo energético eficiente (Clase B), brindando confort durante todo el año. Ubicado a un paso de la A-6 y con excelente comunicación por bus y tren de cercanías, el ambulatorio de Las Matas está a menos de diez minutos a pie. Al final de la calle entras en parque natural ideal para senderismo. Este entorno privilegiado es perfecto para quienes buscan un hogar que combine comodidad, tranquilidad y descanso. ¡No dejes pasar esta oportunidad única y ven a conocerlo!.",False,good,False,3203.0,True,False,False,False,[],False,False,679000.0,€,True,True,chalet,terracedHouse,"Club de Golf, Las Rozas de Madrid",Chalet adosado,,,Club de Golf,Club de Golf,,,,,,
106396189,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/da/fa/1281604239.webp,Faisanes Leganes ,31,409900.0,chalet,sale,203.0,5,2,calle del Faisan,Madrid,Leganés,es,40.326309,-3.7730236,False,https://www.idealista.com/inmueble/106396189/,"¡Descubre el potencial de esta casa independiente en venta! Situada en una parcela de 175 m², esta propiedad de 203 m² construidos te ofrece un sinfín de posibilidades. Con dos plantas bien distribuidas, en la primera encontrarás un acogedor salón, una cocina funcional, dos habitaciones y un baño completo. La segunda planta, anteriormente otra vivienda, cuenta con su propia cocina, salón, dos dormitorios adicionales, un baño y una cocina extra que se puede transformar en una habitación más. Esta casa es perfecta para aquellos que buscan un proyecto de reforma y personalización. Construida en 1965, conserva el encanto de las casas de época y ofrece calefacción a gas natural. Además, disfruta de la comodidad de un patio con corralas, ideal para disfrutar del aire libre, y un cuarto trastero para almacenamiento adicional. Con orientación norte-sur, la luz natural baña cada rincón de esta vivienda. No pierdas la oportunidad de convertir esta propiedad en la casa de tus sueños o en una excelente inversión. Su ubicación y características la hacen ideal para construir o reformar a tu gusto. ¡Ven a visitarla y descubre todo lo que tiene para ofrecer!",False,renew,False,2019.0,True,False,False,False,[],False,False,409900.0,€,,,chalet,independantHouse,"Vírgenes, Leganés",Casa independiente en calle del Faisan,,,Centro,Vírgenes,,,,,,
108902787,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/7e/a4/1358438321.webp,,32,185000.0,flat,sale,70.0,3,2,calle de Azcoitia,Madrid,Madrid,es,40.3719292,-3.7532543,False,https://www.idealista.com/inmueble/108902787/,"¡Oportunidad en Buenavista – Carabanchel! Se vende piso de 70m² en excelente estado, listo para entrar a vivir. La vivienda cuenta con tres dormitorios, salón, cocina independiente, baño completo, aseo y trastero. Muy luminoso y con calefacción individual por gas natural. Ubicado en una zona tranquila del barrio de Buenavista (Carabanchel), con todos los servicios cercanos y buena comunicación con el resto de la ciudad. Ideal para quienes buscan comodidad, tranquilidad y buena distribución en una de las zonas más demandadas del distrito. ¡No pierdas esta oportunidad y ven a visitarlo!",False,good,False,2643.0,False,False,False,False,[],False,False,185000.0,€,,,flat,,"Buena Vista, Madrid",Piso en calle de Azcoitia,4,True,Carabanchel,Buena Vista,False,,,,,
107672261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/2c/bb/1325917140.webp,m-253,41,300000.0,duplex,sale,91.0,2,1,"calle de Cronos, 20",Madrid,Madrid,es,40.4393125,-3.6188539,True,https://www.idealista.com/inmueble/107672261/,"Un Loft Para los que Rompen Esquemas: Vive, Trabaja y Disfruta sin Límites en Madrid Si estás buscando algo más que un piso convencional, este loft en el polígono Matbit de Madrid es para ti. Un espacio diseñado para quienes piensan diferente, para los que no encajan en lo típico y buscan un lugar donde vivir, trabajar y crear sin restricciones. Aquí no hay habitaciones cerradas ni pasillos sin sentido. Aquí decides tú cómo usar cada rincón. � Libertad y Versatilidad en un Solo Espacio Concepto abierto: Diseña tu espacio según tus necesidades, ya sea como hogar, estudio de arte, oficina creativa o todo a la vez. Climatización todo el año: Aire acondicionado frío/calor para tu confort en cualquier estación. Conectividad total: Red de datos integrada para que trabajes sin interrupciones. Seguridad y tranquilidad: Conserje 24/7, porque la privacidad también es clave. Extras a medida: Plazas de garaje opcionales para mayor comodidad. � Ubicación Estratégica para Mentes en Movimiento � A solo 400 metros de las estaciones de metro Suanzes y Torre Arias (Línea 5). � Conexión rápida con M-30, M-40 y A-2 en menos de 10 minutos. ✈️Aeropuerto de Barajas a 15 minutos, ideal para nómadas modernos. Si te gusta romper moldes y crear tu propio estilo de vida, este loft es tu lienzo en blanco. �Escríbenos y ven a descubrirlo en persona. ¡Te sorprenderá! Comunidad: 88 € /mes IBI: 415€ / año TRUA 2024: 56 € Video.",True,good,False,3297.0,True,False,False,False,[],False,False,300000.0,€,,,flat,duplex,"Simancas, Madrid","Dúplex en calle de Cronos, 20",bj,False,San Blas,Simancas,True,,,,,
108917005,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c1/0f/16/1358868652.webp,IE25-GTZB9,2,660000.0,flat,sale,85.0,3,1,Barrio Gaztambide,Madrid,Madrid,es,40.4296683,-3.7140389,False,https://www.idealista.com/inmueble/108917005/,"Inmobiliarias Encuentro vende en exclusiva esta luminosa vivienda en la zona de Gaztambide, Chamberí. La vivienda cuenta con 85m, distribuidos en un recibidor que conecta con el pasillo que da paso a la vivienda. El piso dispone de cocina independiente y salón luminoso. Pasamos a la zona de descanso, cuenta con tres habitaciones, todas con mucha iluminación. Todas habitaciones cuentan con armarios empotrados. La vivienda cuenta con 1 baño completo. La vivienda está para actualizar y dispone de muchas posibilidades de cambio de distribución según preferencias. Cuenta con ascensor. Ubicada en el céntrico barrio de Chamberí, en una de las calles más representativas de este barrio. Concretamente en la zona de Gaztambide, rodeado de todo tipo de servicios, como colegios centros de salud y centro comercial. Además, cuenta con una amplia red de transportes. ¡No dudes en agendar una visita con nosotros!",False,good,False,7765.0,False,False,False,False,[],False,False,660000.0,€,,,flat,,"Gaztambide, Madrid",Piso,5,True,Chamberí,Gaztambide,True,,,,,
107901584,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/9f/78/1327816628.webp,,55,330000.0,chalet,sale,497.0,3,2,calle Diecinueve,Madrid,Nuevo Baztan,es,40.3824093,-3.262014,False,https://www.idealista.com/inmueble/107901584/,"Esta casa independiente es única, sofisticada y elegante. Fue diseñada y creada para aprovechar al máximo sus espacios y la luz natural.  Su diseño es innovador, su construcción de hormigón armado le da carácter y su distribución y espacios están pensados para facilitar el día a día.  Tiene 146 m2 construidos en su edificación principal, distribuidos en una sola planta, tres habitaciones, un salón comedor con muchísima luz y con acceso directo a la piscina, una cocina totalmente equipada con una zona de lavado, dos amplios cuartos de baño completos, un solárium interior y un increíble espacio para la piscina, rodeada por el resto de la casa.  En total 497 m2 contando con la zona piscina, porche para coches, las dos salas de fuera (caldera, depuradora) y un trastero al que se accede desde el exterior de la parcela. Cuenta con techos altos, chimenea, suelo radiante, dobles ventanas de seguridad, aire acondicionado, calefacción de gasoil y laminado de madera de roble en las paredes, lo que hace de ella el lugar perfecto para los que aprecian la tranquilidad, el diseño y los espacios abiertos. En la parte exterior, de más de 2.000 m2, crecen almendros, limoneros, manzanos, incluso palmeras. Se encuentra ubicada en una excelente zona residencial, con la parada de autobús justo al lado de la casa, en la urbanización de Monteceavedo y está rodeada de vecinos a los que les gusta disfrutar de su privacidad. Nuevo Baztán es un municipio situado en la Comunidad de Madrid, conocido por su valor histórico y su singular diseño urbanístico. Su casco histórico, declarado Bien de Interés Cultural, destaca por el Palacio de Goyeneche y la Iglesia de San Francisco Javier.  Rodeado de naturaleza, Nuevo Baztán combina su patrimonio histórico con un ambiente tranquilo, siendo un lugar ideal para quienes buscan un entorno rural con conexión a la historia y la cultura madrileña. Para cualquier duda, consulta o visita puedes ponerte en contacto conmigo en el 6 2 6 5 0 2 8 9 5”.",True,good,False,664.0,True,False,False,False,[],False,False,330000.0,€,True,True,chalet,independantHouse,Nuevo Baztan,Casa independiente en calle Diecinueve,,,,,,345000.0,15000.0,4.0,,
