propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108687415,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/cb/d2/1352158001.webp,20,2,650000.0,flat,sale,114.0,True,3,2,AV LAZAREJO,Madrid,Las Rozas de Madrid,El Cantizal,es,El Cantizal,40.5170695,-3.9291627,False,https://www.idealista.com/inmueble/108687415/,"FV Broker Inmobiliario comercializa esta excelente vivienda en la zona del Cantizal, en Las Rozas. Se trata de un luminoso piso ubicado en una segunda planta, con una superficie bien distribuida en tres dormitorios y dos cuartos de baño (uno de ellos en suite). Dispone de una cocina independiente totalmente equipada y un amplio salón de 25 m² con acceso directo a una agradable terraza de 25 m², orientada hacia las zonas comunes de la urbanización. La vivienda incluye dos amplias plazas de garaje y un trastero de gran capacidad. La urbanización ofrece excelentes zonas comunes, entre ellas: Piscina de adultos e infantil Pista de pádel Gimnasio Servicio de conserjería Además, la vivienda cuenta con aire acondicionado por conductos, proporcionando el máximo confort durante todo el año. El Cantizal es una de las zonas residenciales más demandadas y consolidadas de Las Rozas de Madrid, conocida por su ambiente tranquilo, seguro y familiar, así como por su excelente calidad de vida. Situado al noroeste de la capital, combina la comodidad de vivir en un entorno natural con la cercanía y accesibilidad a Madrid centro. Servicios y Comercios En El Cantizal se encuentra una amplia oferta de comercios de proximidad, supermercados, restaurantes, cafeterías y todos los servicios esenciales como farmacias, centros médicos, bancos y gimnasios. Además, a pocos minutos en coche se accede a gran oferta comercial, como el Centro Comercial Heron City, Las Rozas Village, o Gran Plaza 2. Colegios y Educación Es una zona muy valorada por familias, ya que cuenta con una amplia oferta educativa, tanto pública como privada y concertada. Destacan colegios como el Colegio Logos, el Colegio Gredos San Diego, el British School Las Rozas, y otros centros cercanos de reconocido prestigio. Conexiones y Transporte Cuenta con excelente comunicación por carretera, a través de la A-6 (Carretera de La Coruña), y conexiones rápidas con la M-505 y la M-50. Además, dispone de transporte público con varias líneas de autobús que conectan con el centro de Las Rozas y con Madrid (Intercambiador de Moncloa). Naturaleza y Ocio El Cantizal destaca también por sus zonas verdes y su cercanía a espacios naturales como el Parque Regional del Curso Medio del Río Guadarrama, lo que lo convierte en un lugar ideal para los amantes del deporte al aire libre, paseos en familia o rutas en bicicleta. Una oportunidad ideal para familias que buscan calidad de vida, tranquilidad y todos los servicios en el entorno. Para más información y concertar una visita, no dude en contactar con FV Broker Inmobiliario.",False,good,False,True,5702.0,True,False,False,False,[],False,False,650000.0,€,True,True,flat,"El Cantizal, Las Rozas de Madrid",Piso en Av Lazarejo,,,,,,,
109113236,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/99/c6/b5/1364727806.webp,33,,220000.0,chalet,sale,89.0,,3,2,Barrio Entrevías,Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3757603,-3.6666726,False,https://www.idealista.com/inmueble/109113236/,"Este chalet bien distribuido en dos plantas ofrece una oportunidad única para disfrutar del confort y la comodidad en Madrid capital. En planta baja, encontramos un espacioso salón con aire acondicionado, que garantiza el bienestar durante todo el año y acceso directo al amplio patio ideal para reuniones familiares o momentos de relajación. Una cocina independiente reformada equipada con vitrocerámica y además, cuenta con un cuarto de baño completo equipado con plato de ducha e hidromasaje. La primera planta de 31,14 m2, alberga tres dormitorios: uno doble también climatizado y dos sencillos perfectos para cualquier familia, así como otro cuarto de baño que incluye jacuzzi. Este inmueble está dotado de suelos cerámicos elegantes, ventanas modernas en aluminio y calefacción eléctrica por radiadores lo cual asegura eficiencia energética. Ubicado cerca del transporte público (Estación Renfe El Pozo), supermercados cercanos como Ahorramás y Mercadona, y múltiples opciones educativas además del famoso mercadillo dominical más importante después del Cascorro convierten esta propiedad no solo en un hogar sino también una inversión segura ante los precios competitivos actuales.",False,good,False,,2472.0,True,False,True,False,[],False,False,220000.0,€,,,chalet,"Entrevías, Madrid",Casa independiente,TRV2324,independantHouse,,,,,
109059853,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/55/07/1367669065.webp,17,2,400000.0,flat,sale,75.0,True,2,2,calle Santolina,Madrid,Las Rozas de Madrid,El Cantizal,es,El Cantizal,40.5185905,-3.9282461,False,https://www.idealista.com/inmueble/109059853/,"HOGARES HERON VENDE EN EXCLUSIVA – Piso de dos dormitorios en urbanización privada en El Cantizal Esta vivienda se encuentra en una de las zonas más demandadas y con mayor proyección de las Rozas de Madrid. Con una distribución práctica y funcional, la vivienda se encuentra en perfecto estado. Actualmente se encuentra alquilada con contrato en vigor hasta noviembre de 2026, lo que la convierte en una inversión sólida y con rentabilidad inmediata. Gastos de comunidad: 147€  IBI ANUAL: 480€ Ubicación y entorno: Situado en un enclave privilegiado, junto al centro de salud y rodeado de todos los servicios necesarios para el día a día: supermercados, colegios, farmacias, zonas verdes, comercios y espacios de ocio. Todo ello en un entorno tranquilo y bien comunicado, que permite disfrutar de la comodidad residencial sin renunciar a la cercanía con Madrid gracias a su excelente conexión con las principales vías de acceso. Una oportunidad exclusiva para quienes buscan conjugar ubicación, tranquilidad y valor patrimonial en una de las mejores zonas de Las Rozas. Posibilidad de financiación hasta el 100%. Consulte condiciones.",True,good,False,True,5333.0,False,False,False,False,[],False,False,400000.0,€,True,True,flat,"El Cantizal, Las Rozas de Madrid",Piso en calle Santolina,,,,,,,
109176449,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/dd/2f/1366529530.webp,7,1,275000.0,flat,sale,85.0,True,3,1,avenida de Lisboa,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.355164,-3.8154876,False,https://www.idealista.com/inmueble/109176449/,"-Parque Lisboa- Grupo Inmobiliario Ares vende en la Avenida de Lisboa, piso de 85 m2 construidos, compuesto por 3 dormitorios, 1 baño, salón con acceso a terraza y cocina. Primera planta, exterior, para reformar en su totalidad. Vivienda con muchas posibilidades. La finca dispone de ascensor, portero físico y se encuentra adaptada para personas con movilidad reducida. Zona muy bien comunicada, rodeada de todos los servicios necesarios. * Próximamente se publicará el reportaje fotográfico profesional* Cuota de comunidad: 68 Euros mensuales ¡Visítelo sin compromiso! ""Esta publicación no es contractual y puede contener errores"" Grupo Inmobiliario Ares, fue fundado hace casi 20 años y dirigido por profesionales del sector inmobiliario con más de 25 años de trayectoria. Desde el inicio nos basamos en una única idea: aplicar las mejores técnicas de venta, haciendo suyas los fundamentos de honradez, integridad y ética. Nuestra política de mejora diaria está en conocer y analizar el grado de satisfacción de cada uno de nuestros clientes. Por eso nuestro compromiso personal es garantizarle su tranquilidad en todas las fases de la compraventa. Confíe la compra de su nueva casa a Grupo Inmobiliario Ares, teniendo a su disposición la empresa más profesional y eficaz del sector, según clientes, con un método de trabajo único e innovador.",False,renew,False,True,3235.0,False,False,False,False,[],False,False,275000.0,€,,,flat,"Parque Lisboa - La Paz, Alcorcón",Piso en avenida de Lisboa,ALC-0057,,,,,,
108845682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6b/28/08/1357760371.webp,64,,454000.0,chalet,sale,326.0,,4,2,CL RONDA HISPANOAMERICANA,Madrid,Eurovillas,,es,,40.3580909,-3.2726681,False,https://www.idealista.com/inmueble/108845682/,"Lookandfind, te presenta este precioso y elegante chalet ubicado en la mejor zona de esta urbanización. Con una construcción de 326 m2 y una parcela de 993m2 con un bonito jardín y fácil de mantener. Esta vivienda es muy completa, por tener varios espacios exteriores donde aprovechar las distintas épocas del año. El porche exterior de la entrada a esta vivienda es un rincón muy agradable para disfrutar al aire libre, es amplio y esta orientado al Este, tiene acceso a la cocina para mayor comodidad. Al entrar a la casa tenemos un recibidor de bienvenida con un armario empotrado. La cocina es amplia y esta totalmente equipada, tiene encimera de granito y dispone de una zona de office, que la hace muy practica. El salón, con su chimenea de casset le hace un salón muy acogedor pues es amplio y luminoso. Las cuatro habitaciones son grandes y bien distribuidas, con armarios empotrados y aquí tenemos un baño para dar servicio a estas habitaciones. La habitación principal, es otra de sus fortalezas, es espectacular, con un baño grande en suite y un magnifico vestidor.  El garaje, es de fácil acceso y con puertas automáticas. A continuación se encuentra otro lugar independiente con la caldera y la lavadora con salida al exterior. También tiene parking exterior techado. En la planta baja, nos encontramos dos zonas que nos dan la oportunidad de poder dar el uso que cada uno necesite en cada ocasión, dispone de otro salón o zona de ocio ideal para tus hijos, fiestas, reuniones, despacho, invitados o lo que prefieras, con la ventaja de estar completamente independiente y con salida al jardín. En la otra zona se encuentra la bodega, un rincón que no puede faltar en estas viviendas y aquí nos encontramos con varios cuartos trasteros para mayor ordenación y almacenaje. En la parte exterior, su impresionante piscina y su elegante pérgola harán realidad todos tus sueños. Serán dias inolvidables¡ Tiene una construcción en el jardín para guardar las herramientas. Como se puede apreciar, a este chalet no le falta detalle, es muy completo de muy buena construcción y elegante. Este chalet, esta en una ubicación envidiable cerca del colegio y del centro comercial, donde tienes todo lo que necesitas. Con fácil salida a la carretera desde la urbanización, para no tener que atravesarla. La calle, es una vía amplia con parada de autobús cercana.  La entrada de fuera desde la calle a esta vivienda, esta muy bien dispuesta. Chalet ubicado en Eurovillas, el pueblo de Nuevo Baztán, que fue declarado el pueblo más bonito en el 2021. Y centro histórico de bien de interés cultural. Dos centros comerciales, con tiendas, farmacias, colegios, e institutos, clínicas, Carrefour Market, Eroski, Caixa, ambulatorio, gimnasio. Autobuses a Madrid 261, a Alcalá de Henares, paradas por toda la urbanización. Autobús al metro Arganda del Rey, que conecta también con Renfe.",False,good,False,,1393.0,True,False,False,False,[],False,False,454000.0,€,True,True,chalet,Eurovillas,Casa independiente en CL Ronda Hispanoamericana,IL-05226,independantHouse,,,,,
108471379,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/a2/89/1347326942.webp,51,2,6000000.0,flat,sale,275.0,True,4,4,Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4214983,-3.6812823,False,https://www.idealista.com/inmueble/108471379/,"Exclusiva vivienda en esquina frente al Retiro – Reformada y amueblada con piezas de diseño En una ubicación inmejorable, frente al Parque del Retiro y en plena Calle de Alcalá, se encuentra esta impresionante propiedad situada en una finca señorial del Barrio de Salamanca. Completamente reformada con calidades excepcionales y mobiliario de diseño –incluyendo piezas de Roche Bobois–, esta vivienda es una auténtica joya arquitectónica. La propiedad ocupa una superficie de 275 m² y se distribuye en una planta totalmente exterior, con ocho balcones y un espectacular mirador con vistas despejadas al parque. La orientación este-oeste garantiza una luminosidad constante durante todo el día, acentuando los acabados de lujo en cada rincón. El acceso principal da paso a un amplio recibidor que anticipa la elegancia de la vivienda, con techos de 3,20 metros de altura decorados con molduras originales y un sistema de iluminación indirecta que permite crear ambientes versátiles. El salón se abre hacia el sur con dos balcones, mientras que el comedor, ubicado junto al mirador, recibe abundante luz natural. La cocina, equipada con electrodomésticos de alta gama y una gran isla central, combina diseño y funcionalidad en perfecta armonía. La zona privada cuenta con cuatro dormitorios, tres de ellos con baño en suite. El dormitorio principal incluye un vestidor de generosas dimensiones. Además, la vivienda dispone de un aseo de cortesía y una zona de lavandería independiente, equipada con lavadora y secadora. Entre sus comodidades destacan la calefacción por suelo radiante, aire acondicionado por conductos y un avanzado sistema domótico que permite controlar climatización, iluminación y otros aspectos del hogar de forma sencilla. Una residencia exclusiva, luminosa y sofisticada, ubicada en el corazón de la Milla de Oro madrileña, rodeada de boutiques de lujo, restaurantes de prestigio y con el Retiro como vecino privilegiado. Para más detalles o concertar una visita, no dude en contactar con nosotros.",False,good,False,True,21818.0,True,False,False,False,[],False,False,6000000.0,€,True,False,flat,"Recoletos, Madrid",Piso en Alcalá,1322,,60000.0,,,,
106499767,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/5c/a9/1284681926.webp,37,,1750000.0,chalet,sale,1278.0,,13,14,Raya del Palancar - Guadamonte,Madrid,Villanueva de la Cañada,Raya del Palancar - Guadamonte,es,,40.4177965,-3.9662526,False,https://www.idealista.com/inmueble/106499767/,"Lucas Fox se enorgullece en presentar esta preciosa casa con una exclusiva parcela privada en Guadamonte, en Villanueva de la Cañada. Guadamonte destaca por su estratégica ubicación entre Boadilla y Villanueva de la Cañada. Brinda una impecable seguridad 24/7 con controles de acceso, barreras y guardas de seguridad.  Esta espectacular vivienda se distribuye en varias plantas, con espacios amplios, funcionales y con abundante luz natural.  Al acceder por la entrada principal, un acogedor vestíbulo de gran amplitud nos da la bienvenida y nos da paso a los distintos espacios de la planta. En primer lugar, se dispone el gran salón, con chimenea y ventanales que aportan gran luminosidad. A continuación, se dispone un comedor formal, perfecto para ocasiones especiales. Este comedor nos conduce directamente a la espaciosa cocina con office. Más adelante, se ofrecen dos despachos para trabajar desde casa. En esta planta encontramos dos aseos de cortesía y un amplio garaje con foso para trabajos de mecánica, con capacidad para seis coches y doble salida a la parcela.  En la primera planta, se dispone una biblioteca de estilo clásico, así como un despacho adicional y una sala de informática. Esta planta alberga también seis cómodos dormitorios, acompañados de siete baños en total.  La segunda planta es ideal para alojar huéspedes o para otros usos. Aquí se encuentran ocho dormitorios adicionales, todos amplios y luminosos, junto con dos baños completos. Además, un impresionante torreón corona la planta, con vistas panorámicas inigualables.  En la planta semisótano, se ofrece una gran sala multidisciplinar con salida al jardín y a la piscina, que puede configurarse como sala de ocio, deporte o eventos sociales, según se necesite. También encontramos almacenes de generoso tamaño.  Esta vivienda con diseño exclusivo se ubica en Guadamonte y es ideal para quienes busquen una vivienda amplia en un entorno privilegiado.  Póngase en contacto con Lucas Fox hoy mismo por teléfono o correo electrónico para organizar una visita. Trabajamos los siete días a la semana para adaptarnos a las necesidades de nuestros clientes. También puede visitarnos en nuestro acogedor Lounge de Lucas Fox en la avenida de Europa 38 de Pozuelo de Alarcón. Así podremos analizar sus necesidades con más detalle y ayudarle a encontrar la casa o la inversión perfecta.",False,good,False,,1369.0,False,False,False,False,[],False,False,1750000.0,€,True,True,chalet,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Chalet,POZ54809,,,,,,
109174937,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/89/d8/1366484356.webp,30,,2200000.0,chalet,sale,449.0,,6,7,Barrio Ciudad Universitaria,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4721184,-3.7501824,False,https://www.idealista.com/inmueble/109174937/,"**Casa / Chalet Independiente en Venta en Fuentelarreina** Descubre este impresionante chalet independiente de estilo clásico, ubicado en la exclusiva zona de Puerta de Hierro, Fuentelarreina. Con una superficie construida de 881 metros cuadrados y una parcela de 1.400 metros cuadrados, este hogar es ideal para familias que buscan tranquilidad y confort. Su diseño en dos alturas ofrece una distribución perfecta, con un salón luminoso que se abre a un hermoso jardín, creando un ambiente acogedor y relajante. El exterior no se queda atrás: cuenta con dos porches perfectos para disfrutar de las suaves tardes de verano y una piscina que invita a refrescarse en los días calurosos. Además, la casa está colindante al Monte del Pardo y a los campos de la Real Federación Española de golf, lo que la convierte en un lugar privilegiado para los amantes de la naturaleza y el deporte. Con 6 dormitorios, 3 baños, terraza, balcón y armarios empotrados, este chalet ofrece amplios espacios para toda la familia. La zona de servicio es independiente e incluye cocina, baño y almacén, brindando mayor comodidad y privacidad. Aunque el inmueble es de segunda mano y requiere reformas, su gran potencial te permitirá personalizarlo a tu gusto. El acceso adaptado a personas con movilidad reducida, junto con la calefacción eléctrica y el gas natural, aseguran un hogar cálido y accesible. Con una orientación sur que garantiza luz natural durante todo el día, este chalet se presenta como una oportunidad única en el mercado. No dejes pasar la ocasión de visitar esta joya inmobiliaria. ¡Tu nuevo hogar te espera! Si necesita ser actualizada y aprivechar las fortalezas del chalet.",True,renew,False,,4900.0,True,False,False,False,[],False,False,2200000.0,€,True,True,chalet,"Ciudad Universitaria, Madrid",Casa independiente,,independantHouse,,,,,
108370796,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/8a/05/1342099922.webp,47,1,1290000.0,flat,sale,128.0,True,2,3,"calle de San Bernardo, 85",Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4284584,-3.7064085,True,https://www.idealista.com/inmueble/108370796/,"¡Descubre el lujo y la comodidad en el corazón de Madrid! URBAN DESIGN HUB VENDE Este espectacular piso de diseño, en un edificio emblemático con espacios comunes renovados. Se encuentra en el corazón de Malasaña, centro cultural, de diseño y ocio de Madrid. Exterior, totalmente reformado a estrenar para ofrecer una experiencia de vida única en una de las mejores calles arboladas y amplias del lugar. Este inmueble de 128 m2 es una opción perfecta para quienes buscan un hogar en una ubicación privilegiada. Ubicado en la primera planta cuenta con ascensor apto para personas con movilidad reducida.  La recepción incluye un amplio salón, comedor, cocina americana, un aseo de cortesía y un práctico laundry. Los dos balcones con un mirador junto a un amplio patio inundan de luz todos los ambientes, creando un espacio acogedor y radiante. El piso dispone de 2 master suites con amplios baños y vestidores integrados, además de armarios vestidos y a medida que aprovechan al máximo el espacio. Las puertas interiores y contraventanas originales han sido restauradas, y las ventanas de madera maciza exteriores se han reemplazado por nuevas, de alta tecnología, con doble cristal Silent que garantizan un ambiente tranquilo y silencioso en todo momento.  Suelos de Porcelanosa de gran formato y de madera natural en los dormitorios. Los baños de Porcelanosa cuentan con lavabos a medida, y la cocina de diseño de Linea 3 está equipada con electrodomésticos panelados de alta gama Bosch. El aire acondicionado frío-calor por conductos es regulable en cada habitación, y la calefacción individual por caldera dual de gas natural con radiadores de diseño asegura el máximo confort durante todo el año. Plaza de garaje opcional € 40.000 -.  No pierdas la oportunidad de vivir en este exclusivo piso que combina historia, diseño y funcionalidad en pleno centro de Madrid.  /SIN COMISIONES DE VENTA/.",True,good,False,True,10078.0,True,False,False,False,[],False,False,1290000.0,€,,,flat,"Malasaña-Universidad, Madrid","Piso en calle de San Bernardo, 85",,,,,,,
108699018,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/5c/60/1357545481.webp,24,2,230000.0,studio,sale,158.0,True,0,1,"calle Thomas Edison, 4",Madrid,Rivas-Vaciamadrid,Rivas Futura,es,,40.3341552,-3.5255438,True,https://www.idealista.com/inmueble/108699018/,"¡Descubre este espectacular estudio en venta que combina confort y estilo en una ubicación inmejorable! Con 85 m² construidos y 80 m² útiles, este luminoso espacio está listo para entrar a vivir. Sus acabados de alta calidad, como la tarima de madera y las paredes lisas, crean un ambiente acogedor y moderno. La calefacción por suelo radiante y el aire acondicionado garantizan el máximo confort durante todo el año. Situado en la segunda planta, este estudio cuenta con vistas a una zona verde, lo que proporciona una sensación de tranquilidad en medio de la ciudad. Además, los cristales de doble acristalamiento aseguran un excelente aislamiento acústico y térmico. La seguridad es primordial, por lo que disfrutarás de portero y vigilancia las 24 horas del día. La ubicación es ideal, frente al centro comercial h2ocio y a solo un minuto de la salida 17 de la carretera de Valencia. Incluye dos plazas de garaje para coche mediano y un trastero, lo que añade aún más valor a esta propiedad. No pierdas la oportunidad de visitarlo y obtener más información en persona. ¡Tu nuevo hogar te espera!",True,good,False,True,1456.0,True,False,False,False,[],False,False,230000.0,€,True,True,flat,"Rivas Futura, Rivas-Vaciamadrid","Estudio en calle Thomas Edison, 4",,studio,,,,,
