propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,district,neighborhood,floor,exterior,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
106527037,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/90/b4/1285555865.webp,RSA552,40,690000.0,countryHouse,sale,877.0,3,4,plaza s/n,Madrid,Ambite,es,40.3283739,-3.1823592,True,https://www.idealista.com/inmueble/106527037/,"ANTIGUA ALMAZARA CONVERTIDA EN VIVIENDA CON ENCANTO. Situada en el centro urbano, ofrece una preciosa panorámica de la Alcarria Madrileña. La propiedad cuenta con 877 m² construidos y una superficie de terreno urbano de 1.522 m². En sus orígenes fue una almazara con sus almacenes y espacios para la maquinaria, hoy convertida en una encantadora casa de pueblo que mantiene la estructura y algunos de los elementos originales. El edificio principal, construido en piedra, conserva en su interior los artesonados de madera vista y parte de la maquinaria usada para la obtención de aceite. Tiene acceso desde la calle y en la fachada posterior se sitúa la zona de jardín con piscina. Dispone de un gran salón con chimenea y techo a doble altura, zona de comedor, y zonas de estar, cocina y 3 dormitorios con baño. Aprovechando el desnivel del terreno, se ha construido, bajo la terraza y la piscina otra edificación con dos alturas, donde se sitúa la bodega, un amplio salón social, un baño y la zona de garaje y cuarto de calderas; dispone además de 3 boxes para caballos. También esta zona cuenta con zona de jardín y acceso desde la calle posterior, con paso para vehículos. La vivienda se abre al exterior mediante un agradable porche convertido en un salón exterior con zona de terraza. A continuación, se encuentra la piscina, rodeada de un original piso de madera, con un cenador y una parte de jardín con barbacoa. La zona exterior ofrece una excelente vista de la frondosa vega del Tajuña, sus campos de cultivo y sus laderas surcadas por numerosos arroyos. La propiedad dispone de calefacción por gasoil, conexión a internet y todos los servicios municipales. Esta encantadora propiedad está situada en Ambite, uno de los municipios más fértiles de la comarca alcarreña. La localidad, situada en una pronunciada ladera, cuenta con un entorno natural de gran riqueza medioambiental, entre las comarcas de la Alcarria y la de las Vegas del Tajuña, a sólo 58 km. de Madrid.",True,good,False,787.0,True,False,True,False,[],False,False,690000.0,€,True,True,countryHouse,caseron,Ambite,Caserón en plaza s/n,,,,,,,,,
108256946,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/2b/f9/1338664329.webp,COLMENAREJO,38,620000.0,chalet,sale,230.0,4,4,Colmenarejo,Madrid,Colmenarejo,es,40.5562226,-4.0158006,False,https://www.idealista.com/inmueble/108256946/,"**Chalet Independiente en Venta - Tu Refugio Ideal** Totalmente reformada en 2021 Descubre este espectacular chalet independiente de 230 m², ubicado en una zona privilegiada, a pocos pasos del transporte público. Este hogar cuenta con una parcela de 650 m² que alberga una impresionante piscina privada, perfecta para disfrutar de días soleados y momentos de relajación. Al entrar, te recibe un amplio salón de 30 m² que se conecta directamente con el jardín, creando un ambiente luminoso y acogedor. La cocina, completamente amueblada, es un sueño para los amantes de la gastronomía. Con 4 dormitorios dobles y 4 baños completos, hay espacio suficiente para toda la familia. Además, un segundo salón versátil ofrece múltiples posibilidades, ya sea como sala de juegos o un espacio de trabajo. Las primeras calidades se reflejan en los techos de madera, el gres porcelánico y la carpintería lacada en blanco. La calefacción por suelo radiante garantiza confort en cualquier época del año. También cuenta con un cuarto de lavado equipado para mayor comodidad. Con orientación sur, disfruta de luz natural durante todo el día. Este chalet es ideal para quienes buscan un hogar espacioso y funcional, con todas las comodidades que mereces. ¡No pierdas la oportunidad de visitarlo!",True,good,False,2696.0,True,False,False,False,[],False,False,620000.0,€,True,True,chalet,independantHouse,Colmenarejo,Casa independiente,,,,,,,,,
108423184,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/8c/d3/1344477839.webp,RH43-25,45,1200000.0,chalet,sale,425.0,5,3,calle Eleusis,Madrid,Las Rozas de Madrid,es,40.5201705,-3.925459,False,https://www.idealista.com/inmueble/108423184/,"HOGARES LAS ROZAS HERON VENDE EN EXCLUSIVA ESTE ESPECTACULAR CHALET INDEPENDIENTE EN PARCELA DE 1.286 M², con impresionante piscina, jardín y con todas las orientaciones. En una de las zonas más solicitadas de Las Rozas. Una vivienda diseñada para disfrutar del confort, la amplitud y la privacidad, en un entorno tranquilo y familiar, ideal para quienes valoran el espacio y amplias zonas exteriores pensadas para el disfrute en cualquier época del, año. Desde el acceso principal, un elegante porche delantero ajardinado da la bienvenida a un amplio recibidor con armario empotrado. La vivienda se distribuye de forma cómoda y funcional en tres plantas, adaptándose a las necesidades de toda la familia. Planta principal Dos dormitorios y un baño completo; uno de los dormitorios es ideal para destinarlo como despacho o zona de trabajo en casa. Salón-comedor con acceso al porche trasero acristalado y salida directa al jardín. Cocina independiente de gran tamaño, luminosa y muy funcional, con salida directa al jardín, lo que la hace especialmente cómoda y práctica para el día a día. Cuenta con una despensa de obra perfectamente integrada, equipada con tres estantes (basares) y espacio específico para cubos y utensilios de limpieza, lo que facilita el orden y la organización. Además, la vivienda dispone de un dormitorio o cuarto de servicio anexo, con aseo completo y ducha incorporada, ideal como espacio auxiliar para múltiples usos. Jardín privado excepcional, diseñado para maximizar el confort y el disfrute al aire libre. Distribuido en varias zonas estratégicas según la orientación solar, este espacio exterior ofrece un ambiente sereno y versátil, perfecto tanto para el relax como para actividades familiares y sociales. Sus cuidadas áreas verdes, combinadas con senderos y rincones de sombra, crean un oasis personal donde podrás desconectar y vivir momentos inolvidables durante todo el año. Zona de barbacoa con tiro independiente, un espacio pensado para disfrutar de reuniones y celebraciones al aire libre en un ambiente acogedor y funcional. Perfecta para cocinar y compartir momentos inolvidables con familiares y amigos. Impresionante piscina privada, de gran tamaño y diseño cuidado, que se convierte en el corazón del jardín. Ideal para refrescarse en verano, relajarse tras un día de trabajo o simplemente disfrutar del entorno natural con total privacidad. Planta superior Dos dormitorios con armarios empotrados, entre los que se encuentra el dormitorio principal tipo suite con vestidor amplio, plato de ducha y terraza. Un baño completo.  Planta inferior Un dormitorio adicional. Cuarto técnico con caldera. Trastero. Garaje cerrado con puerta automática y capacidad para dos vehículos. Características destacadas 425 m² construidos / 340 m² útiles. Parcela de 1.286 m². Jardín privado excepcional, con zonas ajardinadas diseñadas para el descanso y el ocio durante todo el año. Piscina privada de gran tamaño y diseño cuidado, rodeada de zonas ajardinadas para el descanso y el ocio. Zona de barbacoa con tiro independiente, perfecta para disfrutar al máximo del aire libre. Calefacción por gas natural. Trastero y armarios empotrados. Todas las orientaciones (norte, sur, este y oeste). Excelente distribución y espacios amplios, tanto interiores como exteriores. Excelentes conexiones por carretera: A-6 (Carretera de La Coruña) M-50 M-505 (Carretera del Escorial) ¡NO PIERDAS LA OPORTUNIDAD DE VISITARLO! FINANCIACIÓN HASTA EL 100% – CONSULTE CONDICIONES.",True,good,False,2824.0,True,False,True,False,[],False,False,1200000.0,€,True,True,chalet,independantHouse,"Monte Rozas, Las Rozas de Madrid",Casa independiente en calle Eleusis,Monte Rozas,Monte Rozas,,,,,,,
109168345,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/d6/45/1366292713.webp,V2683MA,28,990000.0,flat,sale,89.0,2,2,Barrio Trafalgar,Madrid,Madrid,es,40.4323917,-3.6981509,False,https://www.idealista.com/inmueble/109168345/,"Exquisito apartamento de 89m² situado en la cuarta planta de un edificio clásico en la calle Santa Engracia, entre la Plaza de Chamberi y la Plaza de Alonso Martinez. La reforma, realizada con excelente gusto y materiales de gran calidad, ha conseguido aprovechar de forma inteligente los espacios y la luz para conseguir una atmósfera alegre, moderna y acogedora. El hall de entrada da acceso al salón comedor que se abre a una original cocina de diseño equipada con los mejores electrodomésticos. Los dos dormitorios, con armarios empotrados y cuarto de baño en suite, tienen muy buena amplitud y luz natural. Destaca el principal con un vestidor en la planta de arriba. Equipado con calefacción individual por gas y aire acondicionado por maquinas de split. Gracias a su excelente reforma y su demandada ubicación es la propiedad perfecta para tener un pied-à- terre en pleno barrio de Chamberi y también una excelente oportunidad de inversión para rentabilizar vía alquiler.",False,good,False,11124.0,True,False,True,False,[],False,False,990000.0,€,,,flat,,"Trafalgar, Madrid",Piso,Chamberí,Trafalgar,4,True,True,,,,
108713634,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6c/47/89/1352930957.webp,ÀTI_144,33,895000.0,penthouse,sale,197.0,5,3,"paseo del Pinar, 24 -10",Madrid,Las Rozas de Madrid,es,40.4957746,-3.8717188,True,https://www.idealista.com/inmueble/108713634/,"S15 Real Estate tiene el placer de presentar este EXCLUSIVO Ático dúplex de 197 m², según catastro, en la exclusiva y emblemática Urbanización EUROGAR en Las Rozas. Este Ático destaca por su excelente orientación e increíble luminosidad en todas las estancias.  Se distribuye de la siguiente forma, accedemos a la vivienda y en planta principal, nos encontramos un amplio vestíbulo que conduce a dos dormitorios en suite, una cocina independiente de generosas dimensiones con zona de servicio (dormitorio y baño) y un salón-comedor con grandes ventanales que dan acceso directo a una espectacular terraza. En la planta superior. se ubican dos dormitorios adicionales y un baño completo compartido.  La vivienda cuenta con AA por Split y carpintería exterior de alta eficiencia para optimizar el aislamiento térmico y acústico.  La urbanización ofrece seguridad 24 horas con conserje físico, zona gimnasio, dos pistas de tenis, pista multideportiva, parque infantil y dos piscinas rodeadas de amplias zonas ajardinadas.  Se incluye amplia plaza de garaje y trastero.  Gastos: comunidad 94 €/mes y mancomunidad 340 €/mes.  Esta vivienda, diseñada para disfrutar de un ambiente diáfano y soleado durante todo el día, es la opción ideal para quienes valoran la tranquilidad, el espacio y el confort en un entorno de máximo nivel. Para más información o concertar una visita, no dude en ponerse en contacto con nosotros.  ref: ÀTI_144.",False,good,False,4543.0,True,False,True,False,[],False,False,895000.0,€,True,True,flat,penthouse,"El Caño - Maracaibo, Las Rozas de Madrid","Ático en paseo del Pinar, 24 -10",Rozas Centro,El Caño - Maracaibo,3,True,True,,,,
106919475,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/04/ab/1297647301.webp,85319008,26,1650000.0,studio,sale,95.0,0,2,Barrio Recoletos,Madrid,Madrid,es,40.4202582,-3.6884631,False,https://www.idealista.com/inmueble/106919475/,"BRAND MADRID presenta esta bonita vivienda de diseño en el exclusivo Barrio de Recoletos. Se encuentra ubicada en la primera planta de una finca señorial rehabilitada en 2015 y que se encuentra en un excelente estado de conservación. Tiene un tamaño de 95m² catastrales de los cuales 80m² son de vivienda, decorados con un estilo moderno y elegante, que se distribuyen de la siguiente manera: una zona social muy agradable que consta de un luminoso salón con 3 ventanales a la calle y cocina abierta equipada con todos los electrodomésticos de primeras marcas y muebles hechos a medida. Junto a la cocina podemos disfrutar de un espacio para comedor y de un aseo de cortesía para los invitados. En la zona de descanso encontramos 1 dormitorio con ventana exterior y armario hecho a medida. Dispone de baño completo en suite con ducha. Todas las estancias tienen aire acondicionado y calefacción por conductos. La vivienda dispone además de sistema de domótica para controlar todos los suministros de la casa. El edificio tiene gimnasio y sauna a disposición de los vecinos, así como una sala para celebración de eventos de uso común muy elegante, que se puede utilizar bajo reserva. Hay servicio de conserjería 24 horas, lo cual es una gran ventaja de cara a la seguridad y tranquilidad de la comunidad.",False,good,False,17368.0,True,False,True,False,[],False,False,1650000.0,€,,,flat,studio,"Recoletos, Madrid",Estudio,Barrio de Salamanca,Recoletos,1,True,True,1690000.0,40000.0,2.0,
106132663,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/26/b8/1273498147.webp,,28,650000.0,flat,sale,189.0,3,2,calle Mercedes Formica,Madrid,Las Rozas de Madrid,es,40.4992989,-3.8836764,False,https://www.idealista.com/inmueble/106132663/,"HOGARES LAS ROZAS HERON VENDE EN EXCLUSIVA BAJO CON JARDIN EN LA ZONA DEL MONTECILLO Ubicado en una de las mejores zonas de Las Rozas, el Montecillo. Alrededor de parques como la Dehesa de Navalcarbón, centros comerciales, bares, farmacias y colegios. Salida fácil y directa a las carreteras de La Coruña (A6), la M-50 y la M-505 (Carretera del Escorial). La vivienda se encuentra en una urbanización privada con piscina, pádel, parque infantil y conserje. Se distribuye en: - Salón comedor con espacio para mesa de seis comensales y salida al jardín. - Cocina totalmente equipada y zona de lavandería de gran tamaño. - Aseo de cortesía. - Dos habitaciones secundarias con armarios empotrados y muy luminosas, con un baño completo con bañera. - Habitación principal con vestidor y baño en suite con ducha, también desde esta estancia tenemos salida al jardín. Cuenta con plaza de garaje y trastero ¡NO PIERDAS LA OPORTUNIDAD DE VISITARLO!",True,good,False,3439.0,True,False,True,False,[],False,False,650000.0,€,True,True,flat,,"Montecillo, Las Rozas de Madrid",Piso en calle Mercedes Formica,Montecillo,Montecillo,bj,True,True,,,,
106955555,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/39/e9/1301514083.webp,,51,210000.0,chalet,sale,141.0,3,2,avenida de Madrid,Madrid,Patones,es,40.8537064,-3.4879023,False,https://www.idealista.com/inmueble/106955555/,"**Casa / Chalet Adosado en Venta - Ideal para Tu Nueva Vida** Descubre este encantador chalet adosado de 141 m², perfecto para disfrutar de la comodidad y el espacio que siempre has deseado. Distribuido en dos plantas, cuenta con un amplio salón donde podrás compartir momentos inolvidables con familia y amigos. La acogedora parcela trasera es ideal para relajarte al aire libre, equipada con un cenador de obra y barbacoa, perfecta para tus reuniones. En la planta baja, encontrarás un aseo práctico y una cocina sin amueblar, lista para que la personalices a tu gusto. Además, el garaje ofrece espacio para un coche, brindando comodidad y seguridad. En la primera planta, tres luminosos dormitorios te esperan, todos con armarios empotrados para maximizar el espacio de almacenamiento. El dormitorio principal destaca por su baño en suite y un balcón privado donde podrás disfrutar de las vistas. Con su buen estado y listo para ser disfrutado, este chalet es una oportunidad que no querrás dejar pasar. Los suelos de gres y las puertas de pino añaden un toque de calidez y estilo a cada rincón. No esperes más y ven a conocer tu futuro hogar. ¡Te encantará!",True,good,False,1489.0,True,False,True,True,[],False,False,210000.0,€,True,True,chalet,terracedHouse,Patones,Chalet adosado en avenida de Madrid,,,,,,,,,
109018923,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/87/ef/1361849867.webp,OKU-89031358GRA,17,219000.0,flat,sale,69.0,3,1,CL GRANADOS,Madrid,Alcalá de Henares,es,40.4896451,-3.3764648,False,https://www.idealista.com/inmueble/109018923/,"¡Oportunidad única en Alcalá de Henares!  Este piso de 69 m², situado en una tercera planta con ascensor, es el lienzo perfecto para crear el hogar de tus sueños. Con tres amplios dormitorios y un salón-comedor luminoso, este espacio ofrece un sinfín de posibilidades para reformar y personalizar a tu gusto. La cocina y el cuarto de baño son perfectos para renovar y adaptar a tus necesidades. Los suelos de parquet y las ventanas de aluminio aportan un toque clásico que se puede modernizar fácilmente. Además, la terraza es ideal para disfrutar del aire libre en la comodidad de tu hogar. La ubicación es inmejorable: a menos de cinco minutos de la parada de autobús y con acceso rápido a la A-2, estarás conectado con Madrid y sus alrededores. En los alrededores, encontrarás todos los servicios necesarios: centros educativos, comercios, supermercados y zonas verdes para disfrutar del tiempo libre. Este piso, construido en 1968, necesita una reforma integral, pero su potencial es inmenso.  ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,renew,False,3174.0,True,False,True,False,[],False,False,219000.0,€,,,flat,,"Chorrillo, Alcalá de Henares",Piso en CL Granados,Chorrillo,,3,True,True,,,,
108515830,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/3a/d3/1347218150.webp,3367-04459,52,1298000.0,chalet,sale,537.0,5,4,CL PARADISIA,Madrid,Las Rozas de Madrid,es,40.5235694,-3.9217853,False,https://www.idealista.com/inmueble/108515830/,"Chalet Independiente con piscina y gran jardín consolidado en una de las mejores zonas de Las Rozas. Vivienda de 476 m2 construidos en una espaciosa y bien nivelada parcela de 1.138 m2 repartido en 3 plantas. El chalet ofrece espacios amplios y confortables, ideal para aquellos que buscan calidad de vida en un entorno tranquilo, en una vivienda ajardinada y bien comunicado. En la planta de entrada a la vivienda, encontramos un hall distribuidor con acceso a un amplio y luminoso salón con chimenea con zona comedor (en origen sobre plano era otra habitación) y junto al salón un aseo de cortesía que en origen era el baño de ese dormitorio que ahora es comedor. La amplia cocina equipada es muy luminosa y cuenta con vistas a la fachada frontal, dispone de espacio suficiente de almacenaje y además tiene anejo un comedor independiente con salida directa al porche (desde al que también se accede desde el salón), el lugar perfecto para disfrutar de agradables veladas al aire libre con vistas a la piscina. En la planta de arriba encontramos un hall distribuidor separado de las escaleras por una cancela de seguridad que da acceso a 4 habitaciones bastante espaciosas, la principal en suite con baño completo con una gran bañera y ventana, todas cuentan con tarima y armarios empotrados a excepción de un cuarto que es destinado a sala de estar y no cuenta con armarios. Otro baño completo con bañera y ventana da servicio a los otros dormitorios. La planta sótano del chalet cuenta con un garaje con capacidad para dos coches y, separado por una cancela de seguridad acceso a un gran espacio con otro dormitorio en suite con baño con plato de ducha y acceso a un gran salón – bodega, gimnasio o sala de juegos, fiestas, etc. ideal para el entretenimiento de toda la familia. Para almacenamiento adicional, el sótano dispone de un trastero. Una caldera de Gasoil de 1000 litros que da servicio a toda la vivienda. También encontramos una zona habilitada para taller, perfecto para los amantes del bricolaje.   En el exterior, esta parcela de más 1300 metros cuadrados ofrece un amplio jardín completamente consolidado y cuidado al detalle, con fuente de piedra junto a la entrada de la vivienda. Todo el chalet está rodeado de suelos de pizarra y césped. La piscina recibe luz todo el día debido a su magnífica orientación y conforma un espacio ideal rodeado de solar para tumbonas. Situado en una zona tranquila y residencial, el chalet se encuentra cerca de todos los servicios esenciales, incluyendo colegios como Zola o El Cantizal así como el IES Carmen Conde, supermercados, centros comerciales como El Zoco, Rozas Village o Heron City y transporte público con para de autobús línea L2, 620 y 625 con acceso directo a Moncloa a 200 metros de la casa. Esta ubicación combina la serenidad de una zona residencial con la conveniencia de tener todo a mano. Esta es una oportunidad única para adquirir una vivienda excepcional en una de las mejores zonas de Las Rozas. ¡No deje pasar esta oportunidad y convierta este espectacular chalet en su nuevo hogar para disfruta en familia! Ofrecemos ayuda a la financiación si es necesaria.",False,good,False,2417.0,True,False,True,False,[],False,False,1298000.0,€,True,True,chalet,independantHouse,"Monte Rozas, Las Rozas de Madrid",Casa independiente en CL Paradisia,Monte Rozas,Monte Rozas,,,,,,,
