propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,floor,exterior,neighborhood,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107930184,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/e1/7d/1357800949.webp,10,960000.0,chalet,sale,346.0,4,3,collado villalba s/n,Madrid,Collado Villalba,Villalba Estación,es,40.6308675,-4.0054458,True,https://www.idealista.com/inmueble/107930184/,"CONSULTING 2001 VENDE impresionante chalet independiente UBICADO EN COLONIA ESPAÑA, con una superficie construida de 346 m², en una parcela de 1522 m², ajardinada y arbolada, ideal para disfrutar. En perfecto estado, la vivienda se distribuye en una planta más sótano y buhardilla, ofreciendo un amplio hall de entrada que da paso a un espacioso salón de aproximadamente 50 m², con preciosa chimenea de obra en piedra. Cocina, equipada con una moderna isla central y un office para 8 personas, en perfecto estado como nueva. Desde aquí, tendrás acceso directo al jardín. La casa cuenta con 4 habitaciones dobles con armarios empotrados y 3 baños completos exteriores.  El sótano se divide en garaje con capacidad para 5 o 6 coches y un cuarto de calderas. Además cuenta con una buhardilla en bruto con todas las acometidas y ventanas puestas, lista para acondicionar a tu gusto.  Los acabados son de alta calidad, toda la construcion en granito, con suelos de ceramica, ventanas Climalit de alta gama y puertas macizas de roble. La parcela está cuidada al detalle, con leñera, casitas para perros y riego automático.  Contáctenos para más detalles sin ningún compromiso y no dude en concertar una visita. Preguntar por Gema. CONSULTING 2001 Inmobiliaria. GESTION DE VENTAS y ALQUILERES.  Le asesoramos en todo el proceso de venta. Comprometidos con nuestro trabajo, contamos con 30 años de experiencia en la compra-venta y alquileres de inmuebles. Trabajamos con seriedad y total transparencia.  Si desea mas información nos encontrara en el  Le contamos nuestra manera de trabajar y sin compromiso. O puede visitarnos en Calle Honorio Lozano nº7 en Collado Villalba.",False,good,False,2775.0,False,False,False,False,[],False,False,960000.0,€,True,True,chalet,independantHouse,"Villalba Estación, Collado Villalba",Casa independiente en collado villalba s/n,Destacado,,,,,,,,,
109154367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/c2/47/1365894114.webp,62,520000.0,chalet,sale,193.0,5,3,Los Valles,Madrid,Collado Villalba,Los Valles,es,40.638364,-4.0152886,False,https://www.idealista.com/inmueble/109154367/,"Se vende exclusivo chalet unifamiliar situado en una de las zonas más cotizadas y tranquilas de Collado Villalba, ideal para quienes buscan una vivienda cómoda, luminosa y con una ubicación privilegiada. Esta propiedad destaca por su distribución funcional, sus amplios espacios y la combinación perfecta entre interior y exterior. La vivienda se distribuye en varias plantas, ofreciendo estancias amplias y bien diferenciadas. Al acceder a la casa, nos da la bienvenida un elegante recibidor que da paso a un espacioso comedor con acceso directo desde el exterior, creando una conexión fluida con la terraza y la zona ajardinada. La cocina, independiente y muy amplia, ofrece gran comodidad para el día a día y posibilidad de incorporar una zona de office. El salón, cálido y luminoso, es ideal tanto para momentos de relax como para encuentros familiares o con amigos. El chalet cuenta con cuatro dormitorios, uno de ellos en suite con su propio baño, lo que añade un plus de intimidad y confort. Los otros tres dormitorios comparten un baño completo adicional y un aseo de cortesía en la planta baja, todos distribuidos de manera práctica y funcional. En la planta superior se encuentra una buhardilla amplia y luminosa, un espacio versátil que puede adaptarse como despacho, sala de estar, zona de juegos o dormitorio adicional, según las necesidades. El exterior de la vivienda ofrece una agradable terraza con vistas directas a la piscina privada, un espacio perfecto para disfrutar del aire libre, relajarse o compartir momentos especiales. El jardín, ubicado en una zona concreta de la parcela, es pequeño pero muy aprovechable, ideal para quienes desean disfrutar de un espacio exterior sin grandes necesidades de mantenimiento. Situado en una de las mejores zonas residenciales de Collado Villalba, este chalet ofrece tranquilidad, privacidad y cercanía a todos los servicios esenciales como colegios, supermercados, transporte público, zonas verdes y accesos por carretera. Una oportunidad única para disfrutar de un hogar funcional y acogedor con piscina y terraza en una ubicación inmejorable. Nuestro departamento financiero DCredit puede ofrecerte asesoramiento gratuito y ayudarte a conseguir hasta el 100% de financiación, según tu perfil, haciendo que este hogar esté más cerca de lo que imaginas.",False,good,False,2694.0,False,False,False,False,[],False,False,520000.0,€,True,True,chalet,semidetachedHouse,"Los Valles, Collado Villalba",Chalet pareado,Destacado,RP2912025141219,,,,,,,,
108883087,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/ba/60/1357860214.webp,32,1499000.0,flat,sale,160.0,3,3,Barrio Almagro,Madrid,Madrid,Chamberí,es,40.4390723,-3.6972816,False,https://www.idealista.com/inmueble/108883087/,"Vivienda de lujo a estrenar en ALMAGRO, pleno corazón de Chamberí  Descubre esta exclusiva vivienda completamente nueva, ubicada en una de las zonas mas elegantes y codiciadas de Madrid. ALMAGRO en pleno Barrio de Chamberí. Con una entrada privada, esta propiedad ofrece el máximo nivel de confort, privacidad y estilo. La vivienda cuenta con una amplia distribución: Tres dormitorios espaciosos. Tres cuartos de baño completos. Uno de ellos con bañera grande. Salón independiente lleno de luz natural. cocina independiente totalmente equipada con electrodomésticos de alta gama. zona de lavandería. Recibidor. Terraza exterior. Todas las estancias son amplias, luminosas y funcionales, con grandes ventanales que inundan la casa de luz natural durante todo el día. Una oportunidad única e vivir o invertir en una vivienda a estrenar, con todas las comodidades, en una de las mejores zonas residenciales de Madrid. Ven a conocer tu nuevo hogar en Chamberí!",False,good,False,9369.0,False,False,False,False,[],False,False,1499000.0,€,,,flat,,"Almagro, Madrid",Piso,Destacado,,4,True,Almagro,True,,,,
109068075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/4f/d9/1363428035.webp,17,185000.0,flat,sale,76.0,3,2,Noroeste,Madrid,Torrejón de Ardoz,Noroeste,es,40.4633041,-3.4834865,False,https://www.idealista.com/inmueble/109068075/,"Oportunidad¡, Redpiso vende en exclusiva, piso para crear el hogar que deseas. En zona centro de Torrejón de Ardoz, a pasos de todos los servicios de primera necesidad colegios, supermercado, parada de buses, fácil acceso a N2, a pasos del Ayuntamiento y cercanías Renfe.  Compuesta de 3 dormitorios, salón, cocina, 2 baños con plato de ducha (uno en suite), muy amplia, luminosa y completamente exterior. Dispone de ventanas de climalit oscilobatientes, aire acondicionado por conducto en toda la vivienda, suelos de porcelánico, termo eléctrico, completamente reformado, para entrar a vivir. No dudes en visitar, puede ser tu primer hogar. Asesoramientos gratuitos por nuestro Departamento Financiero DCredit, pasa e infórmate sin compromiso. Puedes ver todos nuestros inmuebles en nuestra página web de redpiso. es. Para más información contactar con Mónica.",False,good,False,2434.0,False,False,False,False,[],False,False,185000.0,€,,,flat,,"Noroeste, Torrejón de Ardoz",Piso,Destacado,RP382025140962,bj,True,,False,,,,
109046974,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/0c/b8/1362610328.webp,24,530000.0,flat,sale,68.0,2,1,Barrio Argüelles,Madrid,Madrid,Moncloa,es,40.4218428,-3.7173283,False,https://www.idealista.com/inmueble/109046974/,"REDPISO PASEO DE LA FLORIDA VENDE: Luminoso piso exterior, con doble orientación, completamente reformado, ubicado en una tercera planta, lo que garantiza ventilación cruzada y abundante luz natural durante todo el día. Dispone de dos amplios balcones exteriores y todas las estancias cuentan con grandes ventanales, aportando una sensación de amplitud y luminosidad inigualable.  Con 68 m² construidos, la vivienda se distribuye en 2 dormitorios, 1 baño completo, cocina independiente y un acogedor salón con salida directa al balcón, ideal para disfrutar del aire libre en pleno centro de Madrid.  El piso ha sido totalmente reformado y está listo para entrar a vivir.  Ubicación inmejorable:  •A 2 minutos caminando del Mercadona.  •A 2 minutos caminando del centro comercial Príncipe Pío.  •A 5 minutos de Gran Vía.  •Muy cerca de las estaciones de metro Príncipe Pío y Plaza de España.  •Rodeado de todos los servicios: transporte público, Cercanías, autobuses, colegios, supermercados y zonas verdes.  •A pocos pasos de Palacio Real, Jardines del Campo del Moro y Casa de Campo.  Una vivienda con todo lo que necesitas: reforma integral, luz, amplitud y una localización privilegiada, perfecta tanto para residencia habitual como inversión en una de las zonas con mayor demanda de Madrid.  ¡No dejes pasar esta oportunidad y ven a visitarlo!",False,good,False,7794.0,False,False,False,False,[],False,False,530000.0,€,,,flat,,"Argüelles, Madrid",Piso,Destacado,RP802025140209,3,True,Argüelles,True,,,,
109067504,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/b5/a4/1363410745.webp,20,229000.0,flat,sale,67.0,1,1,Villalba Estación,Madrid,Collado Villalba,Villalba Estación,es,40.628515,-4.0066849,False,https://www.idealista.com/inmueble/109067504/,"Se vende estupendo piso en Collado Villalba, Estación, en pleno centro y con una ubicación inmejorable, a pocos minutos de la estación de tren y rodeado de todos los servicios. La vivienda está en muy buen estado, cuenta con una excelente orientación noreste que le aporta mucha luz natural y se distribuye en 1 dormitorio con acceso a una terraza privada, 1 baño completo, cocina totalmente equipada y un salón luminoso con salida a una segunda terraza. Además, incluye una plaza de garaje en el precio, lo que añade un gran valor a esta propiedad. Ideal para vivir, por su excelente situación, comodidad y buen estado de conservación. Además, desde Redpiso te ofrecemos una ventaja exclusiva: gracias a nuestro departamento financiero Dcredit, podemos ayudarte a conseguir una financiación de hasta el 100%, con condiciones óptimas, para que tú mismo puedas ser el autopromotor de tu nuevo hogar. Una oportunidad única que pone al alcance de tu mano vivir en este piso completo, cómodo y listo para entrar a vivir. ¡No dejes pasar esta oportunidad y ven a visitarlo! Te encantará.",False,good,False,3418.0,False,False,False,False,[],False,False,229000.0,€,True,True,flat,,"Villalba Estación, Collado Villalba",Piso,Destacado,RP1672025140983,4,False,,True,,,,
108706695,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/32/7c/1367756990.webp,7,369000.0,flat,sale,83.0,3,1,calle del Arroyo s/n,Madrid,Madrid,Tetuán,es,40.4692645,-3.7015715,True,https://www.idealista.com/inmueble/108706695/,"✨ Tu nuevo hogar en Madrid te espera ✨ Descubre este luminoso y acogedor piso en Valdeacederas, uno de los barrios con mayor proyección de Madrid, donde la tranquilidad residencial se combina con la cercanía al corazón de la ciudad. Una oportunidad única, ideal tanto para quienes buscan su hogar perfecto como para inversores que desean asegurar una rentabilidad estable. � Principales atractivos: ✔️ 3 amplias habitaciones, dos de ellas dobles, perfectas para crear un espacio familiar, una zona de teletrabajo o un cómodo refugio para tus invitados. ✔️ Un gran salón de 27 m², ideal para diseñar diferentes ambientes: zona de descanso, comedor o un rincón de lectura lleno de luz. ✔️ Calefacción y aire acondicionado, disfruta del máximo confort durante todo el año. ✔️ Luz natural durante todo el día, que llena cada rincón de calidez y energía positiva. ✔️ Cocina con espacio adicional que podrás destinar a despensa, lavandería o almacenamiento extra. Gracias a sus generosas dimensiones y distribución, el piso ofrece la posibilidad de rediseñar el espacio a tu gusto, permitiendo la creación de una cuarta habitación y un segundo baño tras una reforma. � Entorno privilegiado: A solo unos minutos caminando de un gran parque, perfecto para pasear, hacer deporte o disfrutar con los más pequeños. Con supermercados, colegios, tiendas y todos los servicios necesarios para el día a día a solo unos pasos. Conexión excelente: cerca del Metro Ventilla y varias líneas de autobús, con acceso rápido a la zona financiera, el centro de Madrid, la M-30 y la A-6. � Una vivienda con infinitas posibilidades de reforma, perfecta para personalizarla a tu gusto y crear el hogar que siempre has soñado. Ubicación estratégica, amplitud, luz y potencial: una inversión segura en una de las zonas más demandadas de Madrid. � No dejes pasar esta oportunidad. Ven a visitarlo y descubre todo lo que puedes crear en este espacio lleno de futuro.",False,renew,False,4446.0,False,False,False,False,[],False,False,369000.0,€,,,flat,,"Valdeacederas, Madrid",Piso en calle del Arroyo s/n,Destacado,,2,True,Valdeacederas,False,,,,
108760864,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/e5/4d/1354356902.webp,34,2645000.0,chalet,sale,500.0,5,5,Las Lomas,Madrid,Boadilla del Monte,Las Lomas,es,40.4310592,-3.9083364,False,https://www.idealista.com/inmueble/108760864/,"¡Descubre la joya de la urbanización más codiciada de Madrid! Esta exclusiva vivienda de lujo te ofrece un diseño moderno y las mejores calidades en un entorno de máxima privacidad. Con 450 m² construidos sobre una parcela de 1.500 m², esta casa independiente es el refugio perfecto para quienes buscan confort y elegancia. En la planta calle, encontrarás tres habitaciones con baño en suite, un amplio salón comedor, una cocina equipada y un espacio versátil que puede ser otro salón o habitación.  En la planta superior, la biblioteca y el despacho te ofrecen un rincón de tranquilidad, mientras que la habitación principal cuenta con vestidor, baño privado y acceso a una terraza con vistas despejadas. El garaje cubierto tiene espacio para dos coches, bicicletas y motos, además de contar con un práctico trastero. Disfruta de dos grandes terrazas soleadas y dos plazas de garaje exteriores. La orientación sur garantiza luz natural durante todo el día. No pierdas la oportunidad de vivir rodeado de naturaleza sin renunciar a la comodidad urbana. ¡Ven a visitarla y enamórate!",False,good,False,5290.0,False,False,False,False,[],False,False,2645000.0,€,True,True,chalet,independantHouse,"Las Lomas, Boadilla del Monte",Casa independiente,Destacado,,,,,,,,,
109127205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/4a/8e/1365140720.webp,133,1549000.0,chalet,sale,724.0,6,5,Parque Boadilla,Madrid,Boadilla del Monte,Parque Boadilla,es,40.4330886,-3.9245924,False,https://www.idealista.com/inmueble/109127205/,"REDPISO BOADILLA PREMIUM, presenta este espectacular chalet independiente, ubicado en la prestigiosa urbanización Parque Boadilla en Boadilla del Monte, ofrece un estilo de vida de lujo y privacidad en un entorno natural. Con una impresionante parcela de 3.375 metros cuadrados y una superficie construida de 724 metros cuadrados, esta propiedad es ideal para familias que buscan amplitud, confort y exclusividad. Distribución de la Vivienda La casa se distribuye en tres plantas, cada una diseñada para maximizar el espacio y la funcionalidad: Planta Principal: El acceso principal nos recibe en un espacio que conecta las áreas comunes. En esta planta encontramos un generoso salón de 50 metros cuadrados que se convierte en el corazón de la casa, perfecto para reuniones y momentos de relax. La amplia cocina y un comedor independiente están diseñados para los amantes de la gastronomía. Desde aquí, se accede directamente a la parcela, integrando los espacios interiores con el jardín. La planta se completa con dos dormitorios y dos baños, uno de ellos en suite. Primera Planta: La zona de descanso se encuentra en la planta superior. Aquí se ubican cuatro dormitorios, el dormitorio principal en suite es un santuario de tranquilidad, ideal para desconectar al final del día. Contamos con otro baño compartido para el resto de dormitorios. Planta Sótano: Un espacio versátil y funcional. Cuenta con un gran garaje con capacidad para varios vehículos. Además, incluye una despensa, un cuarto de lavandería, un dormitorio de servicio y dos baños. Un espacio diáfano ofrece la posibilidad de crear una sala de juegos, un gimnasio o un área de entretenimiento. El salón adicional en esta planta es perfecto para eventos o reuniones informales. Exteriores y Entorno El chalet se asienta sobre una extensa parcela de 3,375 metros cuadrados, un lienzo en blanco para crear el jardín de tus sueños. La orientación y el tamaño de la parcela garantizan total privacidad y la posibilidad de disfrutar de diversas áreas al aire libre. La urbanización Parque Boadilla es conocida por su tranquilidad, seguridad y cercanía a servicios esenciales, como colegios de prestigio, centros comerciales y accesos rápidos a las principales vías de comunicación. En resumen, esta es una oportunidad única de adquirir una propiedad excepcional, diseñada para el disfrute y el confort de toda la familia en una de las zonas más demandadas de Boadilla del Monte.",False,good,False,2140.0,False,False,False,False,[],False,False,1549000.0,€,True,True,chalet,independantHouse,"Parque Boadilla, Boadilla del Monte",Casa independiente,Destacado,RP1192025141088,,,,,,,,
108910292,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/b4/ed/1358657265.webp,17,194900.0,flat,sale,66.0,2,1,Barrio Santos,Madrid,Leganés,Centro,es,40.3293253,-3.7605198,False,https://www.idealista.com/inmueble/108910292/,"HOGARES LEGANÉS VENDE EN EXCLUSIVA! OPORTUNIDAD! ¡Descubre tu nuevo hogar en el corazón de Leganés! Este encantador piso, ubicado en una de las zonas más céntrica, te ofrece la comodidad y el estilo de vida que siempre has deseado. REFORMADO INTEGRALMENTE! Al entrar, te recibe un acogedor hall seguido de un amplio salón con una excelente iluminación, el cual dispone de aire acondicionado con bomba de calor, cocina amplia totalmente equipada seguida de una cómoda zona de despensa/tendedero. Baño de gran tamaño con plato de ducha y dos habitaciones ambas con armarios empotrados y aire acondicionado con bomba de calor. Con 66 m² construidos, este piso exterior en la planta baja ofrece una magnífica iluminación gracias a su doble orientación sur y este. Inmueble reformado integralmente con las mejores calidades! OPCION DE COMPRAR LA VIVIENDA CON PLAZA DE GARAJE EN LA ZONA! La ubicación es inmejorable, con todos los servicios y comercios a tu alcance y fácil acceso a las principales carreteras hacia Madrid. Además, tienes la posibilidad de financiar hasta el 100% con nuestro departamento financiero Finan Hogar y concertar una cita para visitarlo sin compromiso. ¡No dejes pasar esta oportunidad única!",False,good,False,2953.0,False,False,False,False,[],False,False,194900.0,€,,,flat,,"Santos, Leganés",Piso,Destacado,ALEJANDRO,bj,True,Santos,False,,,,
