propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,status,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice
109151515,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/30/46/1365811565.webp,[[137]] E16B,21,6,500000.0,flat,sale,79.0,True,3,2,"Cerro del Campo, 31",Madrid,Madrid,Vicálvaro,es,El Cañaveral,40.4055926,-3.550309,True,https://www.idealista.com/obra-nueva/109151515/,"Limea Suites: Tu hogar, donde la calidad se siente Limea Suites es una exclusiva promoción de 94 viviendas distribuidas en dos torres, con una amplia zona común que invita al disfrute y la convivencia. Ofrece viviendas de 2 y 3 dormitorios, incluyendo viviendas en plantas baja con grandes terrazas y espectaculares áticos con solárium y con pérgola para disfrutar del sol, pensadas para adaptarse a tu estilo de vida.  En Limea Suites, cada detalle del equipamiento interior ha sido cuidadosamente seleccionado para ofrecer una experiencia de vida superior. La selección de materiales de alta gama y el diseño funcional de los espacios hacen de cada rincón un lugar acogedor y elegante, pensado para disfrutar desde el primer momento.  Los acabados destacan por su calidad: carpintería de PVC con triple vidrio y doble cámara de aire para un excelente aislamiento térmico y acústico, suelos laminados de gran resistencia que combinan estética y durabilidad, y cocinas completamente equipadas con electrodomésticos de última generación que facilitan el día a día. Además, las viviendas cuentan con conexiones para telecomunicaciones, garantizando comodidad y conectividad.  Estos elementos aseguran un alto nivel de eficiencia energética y aislamiento acústico todo ello, bajo la certificación Passivhaus. El Cañaveral, un barrio que es sinónimo de bienestar El Cañaveral es uno de los barrios más prometedores de Madrid, en pleno crecimiento urbanístico y con modernas promociones que garantizan bienestar y calidad de vida.  La zona cuenta con con varias líneas de autobús (159, E5, 290 y N6) que lo conectan con Metro, Cercanías y el centro de Madrid, y dispone además de una excelente comunicación por carretera gracias a su proximidad a la M-45 y el acceso directo a la R-3, lo que facilita los desplazamientos tanto hacia el centro como hacia el corredor del Henares.  Además, hay previsto un nuevo Parque Central que se va a ejecutar en El Cañaveral, conforme a la modificación de la almendra central, así como de las comunicaciones y accesos de El Cañaveral y la línea prevista del Bus de Tránsito Rápido (BTR) o BuP.  El Cañaveral ofrece una ubicación privilegiada y todos los servicios necesarios para una vida cómoda, con comercios, colegios, zonas verdes y centros de salud. Viviendas Passivhaus en El Cañaveral Sus amplias zonas comunes están diseñadas para el disfrute de toda la familia, con zonas verdes perfectamente integradas que invitan al relax y la recreación. Los más pequeños podrán disfrutar de áreas de juegos infantiles seguras y divertidas, mientras que los adultos se relajan junto a la moderna piscina de cloración salina, que ofrece un agua más saludable y respetuosa con el medio ambiente.  El espacio comunitario polivalente está diseñado para adaptarse a tus momentos más especiales. Contará con una exclusiva zona gourmet, perfecta para celebraciones y reuniones con amigos o familiares, y un gimnasio para que puedas mantenerte en forma sin salir de casa. Todo ello en un ambiente moderno y funcional que fomenta la convivencia y el bienestar. También habrá un aparcamiento para bicis y buzones tipo ""Smart locker"". Además, los núcleos de comunicación del edificio se han ejecutado mediante soluciones industrializadas, lo que garantiza una mayor calidad, eficiencia y confort en el día a día. Disfruta del confort de una vivienda Passivhaus con autoconsumo colectivo por placas solares. El autoconsumo eléctrico que incorporamos reduce la dependencia de fuentes de energía no renovables, que emiten grandes cantidades de CO2 y son perjudiciales para la salud de las personas.",True,True,True,False,6329.0,True,False,False,False,[],False,False,500000.0,€,True,True,flat,"El Cañaveral, Madrid","Piso en Cerro del Campo, 31",,,,,,
108706981,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/97/0b/1352733670.webp,,40,2,569000.0,flat,sale,90.0,True,3,2,calle de Argumosa,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4097218,-3.6977653,False,https://www.idealista.com/inmueble/108706981/,"TE PRESENTAMOS EL PISO DE TUS SUEÑOS! Este hermoso piso luminoso y exterior esta ubicado en la calle de Argumosa en Lavapiés, te ofrece una experiencia de vida inigualable. Con 90 m² construidos y 82 m² útiles, esta joya de construcción reciente (2020) cuenta con un amplio salón-comedor y cocina americana que se abre a un encantador balcón exterior, ideal para disfrutar de la vida urbana. La entrada de luz natural inunda cada estancia dividida en tres habitaciones con ventana y armarios empotrados, una de ella con baño privado y adicionalmente un baño social. Estas son algunas de las características que hacen que adquirir esta propiedad sea un inmejorable comienzo: calefacción eléctrica y aire acondicionado para tu máximo confort. Ubicado en la segunda planta de un edificio con ascensor y de construcción nueva, el piso está adaptado para personas con movilidad reducida. Su orientación norte garantiza luz durante todo el día. Además, su localización en el dinámico barrio de Lavapiés te sitúa cerca de la Puerta de Toledo, la Universidad Carlos III de Madrid, el Museo Reina Sofía. el Centro Cultural Casa Encendida y el teatro circo prince.  Con excelente conexión al metro, Cercanías Renfe y líneas de autobuses, tendrás toda la ciudad a tu alcance.  ¡No dejes pasar esta oportunidad única!",True,False,True,,6322.0,True,False,True,False,[],False,False,569000.0,€,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de Argumosa,good,579000.0,10000.0,2.0,,
108774805,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/02/4e/1355846747.webp,3250-04547,63,,1695000.0,chalet,sale,675.0,,8,6,AV MARSIL,Madrid,Las Rozas de Madrid,Club de Golf,es,Club de Golf,40.5457929,-3.9004617,False,https://www.idealista.com/inmueble/108774805/,"ELEGANTE CHALET UNIFAMILIAR DE LUJO, PRIVACIDAD Y SEGURIDAD 24H. PRECIOSA VIVIENDA DE ALTA CATEGORÍA SOCIAL. Distinguida vivienda. En la mejor zona del Club de Golf las Rozas. Quieres que tu familia esté bien relacionada en un lugar de alta categoría social? Calidad, privacidad. Elegancia y confort. Distinguida Vivienda de Lujo en la Urbanización del Golf de Las Rozas – El Refugio Perfecto para una bonita familia. Seguridad vigilancia 24horas. Privacidad. Hazme una oferta. Ubicada en la calle principal de la urbanización más prestigiosa y segura de Madrid, esta propiedad está diseñada para quienes valoran la privacidad, la seguridad y un entorno social de alto nivel. Ideal para ejecutivos que buscan un hogar a la altura de su estilo de vida. Disfruta de: •Máxima privacidad y seguridad 24/7, en un entorno exclusivo con acceso restringido. •Un ambiente social selecto, rodeado de profesionales y familias de alto perfil. El chalet ofrece: •Dos amplios salones privados con terraza, perfectos para eventos personales o profesionales. •Piscina privada y jardín con zona de barbacoa, ideales para reuniones sociales o momentos de desconexión total. Cuenta con ocho habitaciones y seis baños, destacando la suite principal con baño privado de acabados premium y estufa de pellet, un verdadero espacio de descanso y confort. Completan esta propiedad: •Garaje privado para 4 coches y motos. •Sala de juegos y cine. •Gimnasio totalmente equipado. •Sauna finlandesa. Detalles como las ventanas de madera estilo austriaco y la posibilidad de instalar aerotermia de alta temperatura garantizan eficiencia y confort en cualquier época del año. Una inversión en calidad de vida, rodeado de colegios internacionales, universidades de prestigio y los mejores servicios. Una propiedad diseñada para ejecutivos que buscan lujo, seguridad y un estilo de vida selecto. Negociable. Hasta el 100% de tasación.  Hazme una oferta! Te ayudaré en todo el proceso de compra, soy Soledad Terol Asesora de Remax Central. Solicítame una visit. L.",True,False,,,2511.0,True,False,True,False,[],False,False,1695000.0,€,True,True,chalet,"Club de Golf, Las Rozas de Madrid",Casa independiente en Av Marsil,good,,,,independantHouse,
108640340,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fd/53/35/1350750470.webp,NP0007251591,24,4,420000.0,flat,sale,40.0,True,1,1,calle de Bravo Murillo,Madrid,Madrid,Chamberí,es,Trafalgar,40.4354659,-3.7033366,False,https://www.idealista.com/inmueble/108640340/,"NEO Patrimonial presenta este magnífico ático de esencia clásica y alma contemporánea en el barrio de Trafalgar, en pleno corazón de Madrid. En la vibrante calle Bravo Murillo, junto a la Glorieta de Quevedo y calle Fuencarral, ponemos a tu disposición este extraordinario piso de 40 m² (según catastro) ubicado en la cuarta planta de un edificio en excelente estado de conservación. La vivienda, reformada recientemente con materiales de primera calidad y un gusto exquisito, se distribuye en 1 dormitorio, 1 baño completo, salón y cocina independiente. Asimismo, incluye un trastero, para el servicio exclusivo de los dos pisos de la misma planta, adquiriendo dichos pisos los derechos, usos y obligaciones a partes iguales.  Sus dos grandes balcones exteriores de orientación suroeste reciben luz solar directa desde el mediodía hasta el atardecer, haciendo de este espacio un lugar acogedor y lleno de vida. Aunque el edificio actualmente no dispone de ascensor, la comunidad cuenta con varias escaleras donde ya se ha realizado su instalación. La escalera exterior, a la que pertenece este ático, se encuentra en proceso de estudio para una futura instalación del ascensor, lo que incrementaría el valor del inmueble.  La propiedad disfruta de una comunicación inmejorable. A escasos minutos a pie se encuentran varias líneas de metro (1, 2, 4, 5, 7 y 10), además de numerosas rutas de autobuses urbanos (líneas 3, 7, 12, 16, entre otras) y conexiones con Cercanías (C1 y C4), garantizando desplazamientos rápidos y eficaces en cualquier dirección de la ciudad. El entorno que rodea esta vivienda es uno de sus mayores atractivos. Trafalgar ha sido bautizado como “el barrio imparable” por su constante renovación: nuevos bares, concept stores, restaurantes de autor y propuestas culturales conviven con el comercio tradicional, configurando un ambiente moderno, auténtico y cada vez más demandado por quienes valoran una vida urbana con estilo. Además, el barrio cuenta con todos los servicios esenciales, como centros de salud, supermercados, bancos o pequeños comercios que hacen del día a día una experiencia práctica y agradable. Ya sea como primera vivienda o como oportunidad de inversión, este apartamento reúne todos los atributos clave: ubicación, diseño, luminosidad y potencial de revalorización. *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,False,False,,10500.0,True,False,True,False,[],False,False,420000.0,€,,,flat,"Trafalgar, Madrid",Piso en calle de Bravo Murillo,good,,,,,
108305909,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/b9/f5/1342842355.webp,1088,32,,2800000.0,chalet,sale,855.0,,6,8,calle del Naranjo de Bulnes,Madrid,Ciudalcampo,,es,,40.6280774,-3.5925829,False,https://www.idealista.com/inmueble/108305909/,"AMENA HOMES vende este impresionante chalet independiente en una de las zonas más cotizadas de la urbanización Ciudalcampo. Una propiedad única que combina arquitectura contemporánea, espacios amplios, materiales de primera calidad y eficiencia energética. Todo ello rodeado de naturaleza y tranquilidad, a pocos minutos de Madrid. EXTERIOR – Un entorno para disfrutar todo el año Parcela completamente llana de 3.622 m², junto al campo de golf Jardín consolidado con diseño paisajístico y mantenimiento impecable Piscina climatizada para disfrutar en cualquier estación Zona de juegos infantiles Huerto privado y árboles frutales Varias zonas de porche: ideales para reuniones, descanso o cenas al aire libre PLANTA PRINCIPAL – Espacios que combinan diseño y funcionalidad Amplio hall de entrada que marca el estilo elegante de la vivienda Salón-comedor con dos ambientes diferenciados y salida directa al porche principal Cocina moderna y luminosa, totalmente equipada con electrodomésticos de alta gama y salida a otro porche Gran zona de lavandería independiente Sala de estar acogedora, perfecta para cine en casa o lectura, con acceso al jardín Despacho privado, ideal para teletrabajo o estudio Dormitorio de invitados en suite, con baño completo y privacidad total PLANTA SUPERIOR – Zona de descanso y confort Hall distribuidor con aseo de cortesia Espaciosa sala de estar/playroom central Cuatro dormitorios en suite, todos con: Vestidor individual, Baño privado, Terraza con vistas al jardín Distribución pensada para ofrecer privacidad a cada miembro de la familia SÓTANO – Funcionalidad y tecnología Sala de máquinas con sistema de tratamiento de agua conectado a la casa y al riego del jardín Trastero amplio EFICIENCIA Y CALIDADES Sistema de climatización por aerotermia con suelo radiante y refrigerante 20 placas solares que garantizan un consumo energético muy bajo Interiorismo moderno y elegante, con acabados de alta calidad en toda la vivienda GARAJE Garaje cubierto para 4 coches Cargador para coche eléctrico Este chalet es perfecto para quienes buscan una vivienda amplia, cómoda, elegante y eficiente, en una de las urbanizaciones más exclusivas y seguras de Madrid. Ideal para familias que desean disfrutar de la naturaleza sin renunciar al diseño, la tecnología y el confort. La urbanización de Ciudalcampo es una de las mejores zonas residenciales de Madrid. Y tiene un cómodo y rápido acceso en el Km 28 de la N-1. Próxima al aeropuerto de Madrid Barajas, IFEMA y a parque empresarial con múltiples empresas multinacionales.  La urbanización dispone de distintas dotaciones y servicios, como: Club deportivo RACE (Golf, Paddle, Tenis, Piscina, Gimnasio, Hípica, Fútbol), Colegio internacional SEK, Servicio regular de autobuses a Madrid e interno dentro de la propia urbanización, Oficina de correos y Centro Comercial Santo Domingo.  Dispone de un sistema de cámaras y vallado perimetral. Servicio de seguridad 24 horas con patrullas de vigilancia y control de barrera a la entrada.  Puedes disfrutar de 6,5Km de circuito físico para la práctica de deporte al aire libre y 41km de viales con tráfico limitado a la propia urbanización, ideales para los amantes de paseos en plena naturaleza.  Descubre esta y muchas más propiedades en nuestra web. Contactanos y agenda tu visita. ¡Estamos para ayudarte! .",True,False,,,3275.0,True,False,True,True,[],False,False,2800000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en calle del Naranjo de Bulnes,good,,,,independantHouse,
107715367,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/9f/f6/1323966836.webp,Valdemorillo 17,117,,699000.0,chalet,sale,305.0,,6,4,avenida Cerro Alarcón,Madrid,Valdemorillo,Cerro Alarcón,es,,40.4666867,-4.0894082,False,https://www.idealista.com/inmueble/107715367/,"OPORTUNIDAD! Estupenda finca de 1700 metros con casa con los mejores materiales y en perfecto estado. Para entrar a vivir. Todas la comodidades y la seguridad de una zona tranquila. Situada en un alto en un lugar privilegiado. El paraíso en el Tierra. IMPRESCINDIBLE VER. La casa está mejor de lo que reflejan las fotos. Total discreción y profesionalidad. FINANCIACIÓN hasta el 100%. Estudio GRATUITO. Chalet con 6 habitaciones amplias, suite principal con vestidor, hall y baño, varios salones, chimenea, todas las comodidades, una vistas espectaculares. Situada en una gran finca muy cuidada, con distintos ambientes. Piscina con zona chill-out y kiosko-cenador con vistas a la sierra. Baño y zona de gimnasio al lado de la piscina, huerta con pozo de los deseos, caminos de piedra, mesa y bancos de piedra, fuente, trastero y mucho más. PLANTA BAJA Garaje, Jardín, Piscina (vestuario y zona relax), huerta, bodega, suite junior con baño grande y vistas a la piscina ENTREPLANTA Porche con zona de barbacoa, Terraza, 2 salones, amplia cocina, 4 habitaciones (1 en suite con vestidor), 2 baños, espacio GYM (maquina de correr). Gastos de comunidad: 120 euros.",True,False,,,2292.0,True,False,True,True,[],False,False,699000.0,€,True,True,chalet,"Cerro Alarcón, Valdemorillo",Casa independiente en avenida Cerro Alarcón,good,,,,independantHouse,
108236482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/e5/47/1338022893.webp,,36,2,300000.0,flat,sale,74.0,True,2,2,calle de la Maquinilla,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.381566,-3.6382723,False,https://www.idealista.com/inmueble/108236482/,"¡Descubre tu nuevo hogar en Palomeras Sureste, Madrid!  Este encantador piso de 74 m², construido en 2006, combina confort y estilo en una ubicación inmejorable.  Al entrar, te recibe un acogedor salón con aire acondicionado, ideal para relajarte después de un largo día. La cocina está completamente equipada, lista para que prepares tus platos favoritos, y cuenta con una práctica terraza-tendedero que aporta luminosidad y funcionalidad. El inmueble dispone de dos dormitorios, uno de ellos en suite, ambos con armarios empotrados que ofrecen un amplio espacio de almacenamiento. Los dos baños son perfectos para las necesidades diarias; uno cuenta con un plato de ducha y el otro con bañera, brindando opciones para cada momento. Las ventanas Climalit garantizan un excelente aislamiento, mientras que los suelos de tarima y las puertas de roble añaden un toque de elegancia. Vivir aquí significa disfrutar de unas completas zonas comunes que incluyen piscina, pista de pádel y una zona infantil, ideales para el ocio y la diversión. Además, tendrás la tranquilidad de contar con un conserje disponible 24 horas. La plaza de garaje y el trastero están incluidos en el precio, lo que suma comodidad a tu día a día.  Con fácil acceso a la M40, a 10 minutos del Aeropuerto de Barajas, cerca de la parada de autobús de las líneas 54, 58, 103, 142, 143 y N25, y a solo 1,5 km de la estación de Renfe de Vallecas, así como cerca de la estación de metro Sierra de Guadalupe (Línea 1), la ubicación es perfecta para quienes buscan conectividad.  Rodeado de comercios y servicios, como el Centro Deportivo Municipal Palomeras, este piso es una oportunidad única que no querrás dejar pasar. ¡Ven a verlo y enamórate de tu nuevo hogar!",True,False,True,,4054.0,True,False,True,False,[],False,False,300000.0,€,True,True,flat,"Palomeras sureste, Madrid",Piso en calle de la Maquinilla,good,310000.0,10000.0,3.0,,
108921632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/f7/5c/1358995384.webp,3367-04469,45,,895000.0,chalet,sale,400.0,,7,4,alto Monte,Madrid,Torrelodones,Los Peñascales,es,El Monte,40.5754516,-3.8852685,False,https://www.idealista.com/inmueble/108921632/,"Chalet independiente con jardín y piscina en Peñascales – Listo para entrar a vivir Ubicado en una de las zonas residenciales más tranquilas y exclusivas de Torrelodones (Peñascales), este chalet independiente construido en 2005 ofrece el equilibrio perfecto entre comodidad, amplitud y calidad de vida, a solo minutos de Madrid. Con una distribución en 3 plantas más buhardilla y una amplia parcela ajardinada con piscina, esta vivienda está lista para convertirse en tu nuevo hogar. Distribución y espacios: Planta principal: Gran cocina con zona office, perfecta para reuniones familiares, amplio salón-comedor con salida directa a la terraza y al jardín, y un baño completo. Primera planta: 3 habitaciones muy espaciosas, una de ellas en suite con baño propio, más dos baños completos. Dos de los dormitorios cuentan con terraza privada para disfrutar del sol y las vistas. Buhardilla: Espacio con 3 estancias polivalentes, ideales para dormitorio adicional, despacho, gimnasio o sala de juegos para niños. Planta sótano: Amplio garaje con capacidad para 2 coches, cuarto de lavado y plancha, trastero, un baño y una sala de ocio equipada con barra y horno de leña, perfecta para reuniones con familia y amigos. Zona exterior: La parte trasera de la casa cuenta con jardín privado, piscina y zona de barbacoa, ofreciendo un espacio ideal para el descanso, el ocio y el disfrute al aire libre durante todo el año. Calefacción de gas natual, suelo radiante de tubería de agua. Por qué elegir esta vivienda: Chalet independiente en perfecto estado, listo para entrar a vivir. Espacios amplios y versátiles para adaptarse a todas las necesidades familiares. Ubicación tranquila y residencial, con excelente comunicación con Madrid y todos los servicios cercanos: colegios, comercios, restaurantes y zonas verdes. IBI 1100.",False,False,,,2238.0,True,False,True,False,[],False,False,895000.0,€,True,True,chalet,"El Monte, Torrelodones",Casa independiente en alto Monte,good,,,,independantHouse,
109200015,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/56/2a/1367271991.webp,,23,4,590000.0,flat,sale,95.0,True,2,2,"calle de Palos de la Frontera, 16",Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4029693,-3.6988466,True,https://www.idealista.com/inmueble/109200015/,"Te presentamos esta elegante vivienda en venta, situada a pocos pasos de la Estación de Atocha, en una de las zonas más cotizadas de Madrid. Una oportunidad única para quienes buscan funcionalidad, confort y modernidad en un espacio amplio y luminoso de 95 m². CARACTERÍSTICAS PRINCIPALES: -95 m² construidos -2 DORMITORIOS amplios con armarios empotrados -2 BAÑOS modernos y funcionales -AMPLIO SALÓN-COMEDOR, luminoso y con una distribución pensada para el confort -COCINA moderna totalmente equipada con electrodomésticos de alta gama ZONAS COMUNES EXCLUSIVAS: -PISCINA con solárium -GIMNASIO completamente equipado -COWORKING SPACE ideal para teletrabajar o desarrollar proyectos -ZONAS AJARDINADAS y espacios de descanso Esta vivienda se distingue por su diseño inteligente, que maximiza la luz natural y la sensación de amplitud, ofreciendo un hogar versátil que se adapta a cualquier estilo de vida. Su ubicación es inmejorable: en pleno corazón de Madrid, al lado de la ESTACIÓN DE ATOCHA, con acceso inmediato a transporte público, tiendas, restaurantes, zonas verdes y todos los servicios necesarios para tu día a día. NO DEJES PASAR ESTA OPORTUNIDAD. Una vivienda en VENTA con todas las comodidades, pensada para quienes quieren disfrutar de un entorno urbano privilegiado sin renunciar a calidad de vida. Contacta con nosotros para más información y ven a descubrir tu nuevo hogar en Atocha.",True,False,True,,6211.0,True,False,False,False,[],False,False,590000.0,€,,,flat,"Palos de la Frontera, Madrid","Piso en calle de Palos de la Frontera, 16",good,,,,,
108362354,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/1b/c6/1341842794.webp,SAINZBARANDARB,52,2,1090000.0,flat,sale,121.0,False,3,2,calle del Alcalde Sainz de Baranda,Madrid,Madrid,Retiro,es,Ibiza,40.4180415,-3.6703081,False,https://www.idealista.com/inmueble/108362354/,"Zona Retiro–Ibiza: calidad de vida en el corazón de Madrid Espectacular vivienda con reforma a estrenar! Situada en el Bulevar de Alcalde Sainz de Baranda. Vivienda con una superficie de 121 m² construidos y 115 m² útiles. Distribuida en 3 dormitorios, 2 baños (uno de ellos en suite) y una cocina americana integrada en un amplio salón. Cuenta con armarios empotrados de suelo a techo, con puertas abatibles e iluminación interior. Sistema de climatización por conductos con bomba de calor y frío. La cocina está equipada con electrodomésticos de alta gama. Baños de diseño con radiadores toalleros, mamparas de gran calidad y alicatados modernos. Suelos de tarima flotante en toda la vivienda. Todas las instalaciones son completamente nuevas. El edificio dispone de portero físico, ascensor y portal rehabilitado. Plaza de garaje incluida en el precio. Zona Retiro–Ibiza: calidad de vida en el corazón de Madrid Ubicada en una de las zonas más cotizadas y demandadas de la capital, junto al emblemático Parque del Retiro. El barrio de Ibiza–Retiro combina la tranquilidad residencial con una vibrante oferta comercial y de ocio. Entorno y servicios: Amplia oferta de restaurantes, terrazas, cafeterías, y comercios tradicionales y gourmet. A escasos minutos del Parque del Retiro, ideal para pasear, hacer deporte o disfrutar del aire libre. Supermercados, farmacias, gimnasios, bancos y todos los servicios a pie de calle. Educación y salud: Cercano a prestigiosos colegios y centros educativos tanto públicos como concertados. A pocos metros de hospitales de referencia como el Gregorio Marañón, el Hospital del Niño Jesús y el Hospital Universitario Beata María Ana. Conectividad: Excelentemente comunicado mediante transporte público: Metro: líneas 6 (Sainz de Baranda) y 9 (Ibiza) Varias líneas de autobús EMT Acceso rápido a BiciMAD y carriles bici Fácil conexión con la M-30 y otras arterias principales de Madrid. Ambiente del vecindario: Barrio tranquilo, seguro y de carácter familiar. Muy valorado por profesionales, familias y personas que buscan vivir con calidad, comodidad y cercanía a zonas verdes.",True,False,True,,9008.0,True,False,True,False,[],False,False,1090000.0,€,True,True,flat,"Ibiza, Madrid",Piso en calle del Alcalde Sainz de Baranda,good,,,,,
