propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,newDevelopmentFinished
108598641,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/1a/00/1349575291.webp,60,bj,340000.0,flat,sale,114.0,True,2,2,"calle del Puerto de Maspalomas, 28",Madrid,Madrid,Fuencarral,es,Pilar,40.4789756,-3.7140632,True,https://www.idealista.com/inmueble/108598641/,"Acogedor Dúplex en Barrio del Pilar, Madrid Descubre este encantador dúplex de dos plantas en una tranquila zona familiar. Situado a pie de calle, con techo alto y bien distribuido, este hogar promete comodidad y funcionalidad. Incluye una práctica plaza de garaje exterior para residentes. Distribución: Planta baja: Salón comedor amplio, cocina y un baño completo con ventana para ventilación natural. Sótano: Dos habitaciones acogedoras y otro baño completo también ambos con ventana. Ubicación y servicios: A pasos del Metro Peñagrande y diversas líneas de autobús. Fácil acceso a la M-30. Cerca de comercios, gimnasio Go-Fit, centro comercial La Vaguada, y centros educativos y sanitarios. Ideal para quien busca un espacio tranquilo y bien ubicado en el corazón del Barrio del Pilar.",True,good,False,True,2982.0,True,False,False,False,[],False,False,340000.0,€,flat,"Pilar, Madrid","Piso en calle del Puerto de Maspalomas, 28",,,,,,,,
108252829,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/c3/e9/1339308719.webp,73,3,1850000.0,flat,sale,325.0,True,5,3,calle de Chapinería,Madrid,Madrid,Fuencarral,es,Fuentelarreina,40.476669,-3.7383726,False,https://www.idealista.com/inmueble/108252829/,"¡UN HOGAR CON ALMA Y VISTAS! En el corazón de Puerta de Hierro, una de las zonas residenciales más prestigiosas de Madrid, se alza esta magnífica vivienda de 325 m² construidos (fuente: catastro). Un hogar que combina amplitud, privacidad y una calidad de vida excepcional, rodeado de vegetación y con vistas abiertas a una imponente arboleda que envuelve la finca. Desde cualquier estancia, la mirada se pierde entre los árboles, ofreciendo una sensación de calma, intimidad y conexión con la naturaleza que muy pocas viviendas en Madrid pueden ofrecer. El salón principal, dividido en tres ambientes claramente diferenciados, es el alma de la casa. Bañado en luz natural y enmarcado por las vistas al verde, este espacio acoge momentos de calma, reuniones familiares y largas sobremesas con amigos. El salón cuenta con librerías hechas a medida en madera de nogal español y una elegante chimenea en perfecto estado de uso, que aportan calidez y sofisticación. Espacio, luz y confort conviven en armonía en el auténtico corazón de la casa. La naturaleza se convierte en telón de fondo de la vida diaria. La cocina con office es uno de los grandes protagonistas de la vivienda, es un santuario culinario, su amplitud permite disfrutarla tanto en el día a día como en ocasiones especiales. Cuenta con una zona de comedor informal ideal para desayunos o comidas en familia, su conexión con el exterior y la luz la convierten en un espacio acogedor, con acceso a una terraza-tendedero independiente, que añade practicidad sin sacrificar estética.  Está equipada con electrodomésticos de alta gama y una distribución pensada para optimizar el espacio y el movimiento, lo que convierte este ambiente en un verdadero punto de encuentro dentro del hogar. Cada detalle ha sido cuidado para ofrecer comodidad, funcionalidad y calidez. La biblioteca, revestida con una librería de madera de nogal español, ofrece un espacio íntimo y sereno, ideal para trabajar, leer o simplemente desconectar. La zona de descanso se compone de tres dormitorios, incluyendo una elegante suite principal con vestidor y terraza privada, pensada para el confort y la privacidad, además de un dormitorio de servicio con baño completo, ideal como cuarto de invitados o apoyo doméstico. La vivienda se encuentra en muy buen estado de conservación, lista para entrar a vivir. La propiedad incluye dos plazas de garaje y trastero y consta de tres terrazas privadas. Una propiedad para quienes buscan calidad de vida, espacios generosos, entorno verde y una ubicación privilegiada en una de las urbanizaciones más consolidadas y demandadas de Madrid. Acceso a cuidadas zonas comunes con piscina, amplios jardines y cancha de tenis. Todo ello en un entorno seguro, exclusivo y rodeado de naturaleza. Este no es solo un piso, es un lugar donde cada rincón invita a vivir momentos únicos y memorables. Un lugar donde la vida fluye con calma, rodeado de naturaleza y confort. Contáctame para concertar una visita privada y conoce esta exclusiva propiedad.",True,good,False,True,5692.0,True,False,False,False,[],False,False,1850000.0,€,flat,"Fuentelarreina, Madrid",Piso en calle de Chapinería,0015-07342,True,True,,,,,
106062682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/81/56/1271351743.webp,21,,1250000.0,chalet,sale,539.0,,5,6,calle Sotavento,Madrid,Pozuelo de Alarcón,Somosaguas,es,Somosaguas,40.4207574,-3.7945771,False,https://www.idealista.com/inmueble/106062682/,"Chalet independiente, para reforma total, situado en la prestigiosa urbanización de Somosaguas Centro, 539 m² construidos en una parcela de 522 m². Ubicación segura, tranquila y rodeada de zonas verdes. Se distribuye en tres plantas y un sótano: - En la planta calle nos encontramos un hall con armario gabanero, salón - comedor en dos ambientes y con salida directa al jardín. Aseo de cortesía y una cocina con office, con isla central y despensa. - En la primera y última planta, se encuentra la zona de descanso que cuenta con cuatro grandes dormitorios en suite, con sus correspondientes armarios vestidos y baños, dichas estancias son todas exteriores y se accede a ellas por una cómoda escalera con ventanal. - La planta sótano, cuenta con un amplio family room baño completo, zona de servicio, posibilidad de gimnasio, sala de cine, cuarto de instalaciones, trastero y garaje. La vivienda se encuentra a 10 minutos del centro de Madrid, Colegios de Prestigio, Universidades y muy próxima a la casa de campo. Por petición de algunos clientes, no publicamos gran parte de nuestros inmuebles en portales inmobiliarios. Puedes contactarnos y especificarnos tu búsqueda y así te ofreceremos inmuebles off market.",False,good,False,,2319.0,True,False,False,False,[],False,False,1250000.0,€,chalet,"Somosaguas, Pozuelo de Alarcón",Casa independiente en calle Sotavento,,True,True,1500000.0,250000.0,17.0,independantHouse,
108698609,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/22/91/1352656909.webp,37,2,1100000.0,flat,sale,153.0,True,4,2,calle de la Princesa,Madrid,Madrid,Moncloa,es,Argüelles,40.4327537,-3.7167168,False,https://www.idealista.com/inmueble/108698609/,"Piso Amplio y Luminoso en Argüelles - ¡Tu Nuevo Hogar Te Espera!  Descubre este espectacular piso de 153 m² construidos, en el corazón de Argüelles, ideal para quienes buscan un espacio amplio y lleno de luz.  Según la distribución actual, el piso se compone de hall de entrada, salón-comedor que se ilumina a través de dos grandes ventanas y con un pequeño balcón. Cuenta con un despacho o sala de estar que ofrece mucha versatilidad para tus necesidades y de tres dormitorios de buen tamaño, equipados con armarios empotrados, ideales para aprovechar al máximo el espacio. Dos cuartos de baño completos. Cocina muy amplia. Este inmueble, situado en una finca clásica con ascensor y montacargas, cuenta con calefacción central y agua caliente mediante caldera individual de gas natural.  También incluye un trastero como anejo, perfecto para almacenar lo que necesites.  La ubicación es inmejorable, a un paso del Parque del Oeste, del Templo de Debod y de la plaza de España, rodeado de pequeño comercio de proximidad y junto al Corte Inglés, cuenta con todos los servicios, además de colegios y universidades de reconocido prestigio, para hacerte la vida más sencilla.  Las comunicaciones son excelentes, con fácil acceso a las principales vías como la N6, M30 y M40. No dejes pasar la oportunidad de reformar este piso a tu estilo y convertirlo en el hogar de tus sueños. ¡Contáctanos para más información y ven a visitarlo!",False,renew,False,True,7190.0,True,False,False,False,[],False,False,1100000.0,€,flat,"Argüelles, Madrid",Piso en calle de la Princesa,0015-07376,,,,,,,
109176354,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c5/b5/5f/1366527437.webp,21,3,680000.0,flat,sale,130.0,True,5,1,plaza de la Beata María Ana de Jesús,Madrid,Madrid,Arganzuela,es,Chopera,40.3944752,-3.6968492,False,https://www.idealista.com/inmueble/109176354/,"� Tu Futuro Hogar en el Corazón de Legazpi – Espacio, Luz y Mil Posibilidades � SERVIFINCAS ARGANZUELA presenta una amplia y luminosa vivienda en venta en Plaza de la Beata, Legazpi, a un paso del emblemático Centro Cultural Matadero y perfectamente comunicada con el resto de Madrid (Metro Legazpi, Atocha, museos... ). Ubicada en una 3ª planta exterior con ascensor y acceso adaptado para personas con movilidad reducida, esta propiedad te ofrece la oportunidad de crear la casa de tus sueños en una zona vibrante, cultural y en plena expansión. � Amplia distribución: Gran dormitorio principal en esquina, bañado en luz natural. 2 dormitorios dobles (uno exterior y otro orientado a patio). 1 dormitorio adicional perfecto como despacho o vestidor. Salón independiente y sala de estar con posibilidad de unirse y crear un gran espacio abierto con vistas a la plaza. Cocina independiente y baño con ventana. � Extras que suman valor: Despensa / Trastero en la misma vivienda. Aire acondicionado en salón. Portal reformado y accesible. Luz, amplitud y un sinfín de opciones para reformar a tu gusto. Imagina vivir en una zona con alma artística, excelente conexión y todo el potencial para convertirse en tu refugio ideal. � Legazpi – Un barrio con historia, cultura y futuro.",True,good,False,True,5231.0,False,False,False,False,[],False,False,680000.0,€,flat,"Chopera, Madrid",Piso en plaza de la Beata María Ana de Jesús,243V1396,,,,,,,
108170039,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/d8/ee/1335954659.webp,20,2,164900.0,penthouse,sale,105.0,True,3,1,calle Torrejón,Madrid,Parla,Calle Pinto-San Roque,es,,40.2381142,-3.7664929,False,https://www.idealista.com/inmueble/108170039/,"INMOBILIAR pone a la venta este magnífico ÁTICO-DÚPLEX EN PARLA, en edificio CONSTRUIDO EN 2004. La vivienda se compone de 3 habitaciones, una de ellas no hace falta subir escaleras, un baño completo y salón con cocina americana. Muy luminoso, y muy bien comunicado. Suelos de tarima, ventanas climalite oscilobatientes, calefacción de gas natural, armarios empotrados y tragaluz en la planta de arriba. Respecto a la zona, es una zona céntrica a tan solo 4 minutos de Renfe andando, junto a la Casa de la Cultura (antigua Plaza de la Guardia Civil). ¡No dudes en venir a verlo! Si necesitas ayuda con la financiación, podemos conseguir hasta un 100% de la hipoteca. *Este anuncio no es vinculante, puede contener errores de carácter tipográfico no siendo este anuncio contractual, se muestra a título informativo.",False,good,False,False,1570.0,False,False,False,False,[],False,False,164900.0,€,flat,"Calle Pinto-San Roque, Parla",Ático en calle Torrejón,,,,,,,penthouse,
108962093,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/9c/14/1360195645.webp,19,bj,395000.0,flat,sale,143.0,True,3,1,calle del Corregidor Juan Francisco de Luján,Madrid,Madrid,Moratalaz,es,Fontarrón,40.4010445,-3.6478135,False,https://www.idealista.com/inmueble/108962093/,"¡Descubre tu nuevo hogar en Moratalaz, Madrid! Tecnocasa Estudio Moratalaz Fontarrón tiene el placer de presentarte esta increíble vivienda en la Calle Corregidor Juan Francisco de Lujan.  Ubicada en uno de los barrios más tranquilos y llenos de áreas verdes de Madrid, esta vivienda te ofrece una ubicación inmejorable. Encontrarás colegios, guarderías, autobuses, parques... todo muy cerca de la vivienda. El inmueble es completamente exterior y consta de 68mts construidos, 62 mts útiles aproximadamente. Al ingresar, te recibirán una entrada acogedora y un amplio salón con terraza integrada. Amplia cocina con tendedero integrado, y encontrarás un baño completo con plato de ducha, tres espaciosas habitaciones y un jardín de 72 mts. La vivienda dispone de calefacción individual a gas natural, brindándote comodidad y practicidad en tu día a día. La ubicación de la finca es privilegiada, a solo 6 minutos del metro ARTILLEROS y a tan solo 2 minutos de diferentes líneas de autobús que te conectarán con toda la ciudad (Línea 20 - 8 y N8).  No dudes en contactarnos para obtener más información o concertar una visita a esta maravillosa vivienda. Nuestro equipo de agentes inmobiliarios estará encantado de ayudarte y responder a todas tus preguntas. Además, te invitamos a consultar sin compromiso nuestras opciones de financiación a través de nuestro departamento de intermediación financiera ''Kiron''. Podrás obtener financiación al 80%, 90% e incluso hasta el 100% de tu hipoteca, dependiendo de su perfil económico. Kiron facilita así el proceso de compra de tu nuevo hogar. Preguntar por condiciones de venta. La información contenida en este anuncio no tiene carácter contractual ni vinculante, ya que podría contener alguna incorreción. En el precio de venta expuesto no se hayan incluidos los gastos de formalización de la compraventa, tales como honorarios de notaria, honorarios de la inscripción registral, honorarios por la tramitación e inscripción registral de escrituras ni el ITP (Impuesto de Transmisiones Patrimoniales, siendo el tipo máximo en la Comunidad de Madrid del 6%). Del mismo modo, en el precio anunciado, no se incluyen los honorarios los honorarios de la agencia al comprador, que ascienden al 3%+IVA (tipo impositivo 21%) que se abonarán por el sobre el precio fijado en la promesa de compra suscrita por el mismo. Tampoco se encuentra incluidos en el precio anunciado de venta otros tributos y gastos que pudieran existir al suscribir una hipoteca, tales como gastos de tasación, comisión bancaria de apertura del préstamo, AJD (Impuesto por los Actos Jurídicos Documentados, gastos de segundas copias. No dejes pasar esta oportunidad de adquirir una vivienda con una distribución cómoda y múltiples posibilidades. ¡Llámanos hoy mismo y déjanos hacer realidad tus sueños de un hogar perfecto en Moratalaz!",False,good,False,True,2762.0,True,False,False,False,[],False,False,395000.0,€,flat,"Fontarrón, Madrid",Piso en calle del Corregidor Juan Francisco de Luján,,,,,,,,
107831613,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/79/2f/1325764894.webp,27,4,538000.0,flat,sale,56.0,True,1,1,"calle de la Montera, 44",Madrid,Madrid,Centro,es,Sol,40.4194672,-3.7015365,True,https://www.idealista.com/inmueble/107831613/,"Piso en Venta en el Corazón de Madrid – Vive la Ciudad con Estilo Te presentamos esta magnífica vivienda exterior, ubicada a escasos metros de Gran Vía, en una finca representativa completamente rehabilitada. Renovado íntegramente en 2020 con excelentes calidades, este piso combina diseño contemporáneo, funcionalidad y una ubicación inmejorable. Desde el primer paso, te recibe un luminoso salón-comedor con acceso a un balcón y vistas despejadas, un espacio ideal para relajarte o disfrutar de agradables momentos de reunión con luz natural durante todo el día. La cocina, abierta al salón, está equipada con electrodomésticos Bosch de alta gama, pensada para quienes disfrutan cocinando con estilo y comodidad. El dormitorio independiente ofrece una solución práctica y versátil con cama abatible, ventilador retráctil y salida a un segundo balcón, perfecto como refugio tranquilo o espacio multifuncional. El baño, de líneas modernas y acabados elegantes, incluye grifería Grohe, garantizando calidad y diseño. Con una superficie construida de 56 m² (45 m² útiles), la vivienda ofrece una distribución inteligente y acogedora. Dispone de ventanas con doble acristalamiento Climalit, instalación eléctrica empotrada en el suelo, calefacción por radiadores eléctricos de diseño Degxel y aire acondicionado por split con bomba de frío/calor, para asegurar confort durante todo el año. Ubicado en una de las zonas más codiciadas de Madrid, estarás rodeado de una completa oferta de servicios, transporte público, comercios, restaurantes, teatros y espacios culturales. Ideal como residencia habitual, inversión o segunda vivienda. Una oportunidad única para disfrutar del pulso de la ciudad sin renunciar a la tranquilidad y al confort de un hogar moderno y bien pensado. ¿Lo visitas? Contáctanos y déjate sorprender.",True,good,False,True,9607.0,True,False,False,False,[],False,False,538000.0,€,flat,"Sol, Madrid","Piso en calle de la Montera, 44",DHV-1315,,,,,,,
109154887,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/9c/a4/1365909678.webp,22,2,215000.0,flat,sale,58.0,True,2,1,calle de Federico Grases,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3779706,-3.7496625,False,https://www.idealista.com/inmueble/109154887/,"INMOHOGAR SERVICIOS INMOBILIARIOS Y FINANCIEROS; VENDE. Zona Carabanchel - vista alegre - puerta bonita Vivienda exterior con 2 dormitorios (uno con armario empotrado); cocina, salón de paso, terraza cerrada no incorporada al salón con armario empotrado y terraza abierta, pasillo, baño completo con plato de ducha y ventana. Calefacción individual mediante radiadores eléctricos o bomba de calor. Muy buena orientación sur, con mucha luz natural. Finca con la I. T. E pasada, favorable. Complementaria I. E. E, en 2021. REFORMADA, EN 2019-2020. PARA ENTRAR A VIVIR A menos de 2 - 12 minutos alrededor de la vivienda se encuentra; Estación de Metro Eugenia de Montijo (Línea 5); Metro San Francisco (Línea 11). Paradas de autobús (líneas: 34; 121, 131, 139; N17). Colegio La Milagrosa; CEIP Parque Eugenia de Montijo, Colegio San Gabriel, Escuela Infantil Diventium en Carabanchel. Mercados como el mercadona, Lidl; DIA, etc. Centro Municipal de Salud Comunitaria Carabanchel; Centro de Salud Nuestra Señora de Fátima Centro Deportivo Municipal Las Cruces.",True,good,False,False,3707.0,True,False,False,False,[],False,False,215000.0,€,flat,"Puerta Bonita, Madrid",Piso en calle de Federico Grases,,,,,,,,
108825198,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/bc/65/1356221323.webp,27,2,995000.0,flat,sale,132.0,True,5,1,"CL MORATIN, 42",Madrid,Madrid,Centro,es,Huertas-Cortes,40.4124929,-3.6949865,True,https://www.idealista.com/inmueble/108825198/,"Amplio piso de 5 habitaciones en Calle Moratín, 42 para reformar – Barrio de Las Letras (Madrid) Se vende espacioso piso en una de las zonas más céntricas y con más encanto de Madrid, en Calle Moratín, 42, pleno Barrio de Las Letras. La vivienda dispone de 5 habitaciones, salón, cocina independiente y baño completo. La propiedad destaca por su gran luminosidad, techos altos y amplias estancias. Ideal tanto para familias numerosas, como para inversores que busquen rentabilidad mediante alquiler por habitaciones o uso turístico (consultar normativa vigente). Ubicado a pocos minutos a pie del Paseo del Prado, Museo del Reina Sofía y estación de Atocha. Zona con todos los servicios y excelente comunicación mediante metro, autobús y tren. Gran oportunidad en una de las localizaciones más demandadas de Madrid centro. � Transporte público Metro •Estaciones cercanas (a 4–6 min andando): •Antón Martín (Línea 1). •Sevilla (Línea 2). •Estación del Arte (Línea 1). Autobús (EMT) Paradas a menos de 3 min: •Museo del Prado–Jardín Botánico (1 min a pie). •Antón Martín, Plaza Matute, Prado–Atocha (3–5 min). Líneas que pasan: 001, 10, 14, 17, 26, 27, 32, 34, 37, 45, C03, E1. Cercanías (tren) Estación más próxima: Atocha (10 min a pie), servida por C1, C2, C3, C4, C4a, C4b, C5, C7, C10. Horario destacado •Metro (L1) empieza sobre las 6:05 h, finaliza cerca de 1:59h. •Autobuses nocturnos (líneas N11 primera, N9 última): entre las 3:00 y 3:29h. ⸻ � Transporte privado Coche (taxi/vehículo propio) •Aproximadamente 18 km desde el aeropuerto (MAD), con tiempo de trayecto estimado en 22 min en coche. •Taxi aeropuerto → Moratín 42: unos 22 min. Aparcamientos públicos. Algunas opciones en los alrededores: •Aparcamiento público Plaza Mayor. •Aparcamiento Atocha 70. •Low‑Cost Parking Madrid. Para residentes sin garaje, el acceso al área puede necesitar tarjeta de residente/Zona SER.",False,renew,False,False,7538.0,True,False,False,False,[],False,False,995000.0,€,flat,"Huertas-Cortes, Madrid","Piso en CL Moratin, 42",M42,,,,,,,
